"","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction1","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction2","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction3","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction4","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction5","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction6","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction7","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction8","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction9","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction10"
"Q09028",0,0,0,0,0,0,2,0,0,0
"O43598",2,0,0,0,0,0,0,0,0,0
"Q15293",0,0,0,0,0,0,1,0,0,0
"P54725",1,0,0,0,0,0,0,0,0,0
"P54727",0,13,0,0,0,0,0,0,0,0
"P61586",0,0,0,0,0,0,4,0,0,0
"P62913",2,0,0,0,0,0,7,0,0,0
"P30050",7,0,0,0,0,0,14,0,0,0
"P61313",0,0,0,0,0,0,1,0,0,0
"P18621",0,0,0,0,0,0,4,0,0,0
"Q07020",0,0,0,0,0,0,7,0,0,0
"Q02543",0,0,0,0,0,0,3,0,0,0
"P84098",0,0,0,0,0,0,8,0,0,0
"P46778",0,0,0,0,0,0,6,0,0,0
"P35268",4,0,0,0,0,0,7,0,0,0
"P62829",2,0,0,0,0,0,8,0,0,0
"P62888",1,0,0,0,0,0,0,0,0,0
"P61513",0,0,0,0,0,0,2,0,0,0
"P36578",0,0,0,0,0,0,24,0,0,0
"P46777",0,0,0,0,0,0,4,0,0,0
"P62424",0,0,0,0,0,0,11,0,0,0
"P32969",0,0,0,0,0,0,4,0,0,0
"P05388",0,0,0,0,0,0,6,0,0,0
"P05386",9,7,2,0,0,0,4,0,0,0
"P05387",69,30,16,12,5,3,18,0,0,0
"P22626",3,0,0,0,0,0,13,0,0,0
"P62280",0,0,0,0,0,0,4,0,0,0
"P25398",0,0,0,1,3,2,6,0,0,0
"P62277",0,0,0,0,0,0,4,0,0,0
"P62244",3,0,0,0,0,0,6,0,0,0
"P62249",0,0,0,0,0,0,7,0,0,0
"P39019",0,0,0,0,0,0,2,0,0,0
"P15880",0,0,0,0,0,0,11,0,0,0
"P63220",0,0,0,0,2,2,4,3,4,4
"P62266",0,0,0,0,0,0,3,0,0,0
"P62847",0,0,0,0,0,0,5,0,0,0
"P62979",2,0,0,0,0,0,3,0,0,0
"Q71UM5",0,0,0,0,0,0,4,0,0,0
"P23396",7,0,0,0,0,0,16,0,0,0
"P61247",0,0,0,0,0,0,11,0,0,0
"P62701",0,0,0,0,0,0,6,0,0,0
"P46782",1,0,0,0,0,0,6,0,0,0
"P62753",0,0,0,0,0,0,13,0,0,0
"P26447",0,0,0,0,0,5,0,0,0,5
"P60903",0,0,0,0,0,4,4,0,0,0
"P31949",0,3,0,4,6,0,4,0,0,0
"Q96FQ6",0,0,0,0,2,0,0,0,0,0
"Q9UBT2",0,0,0,0,0,0,1,0,0,0
"O75396",0,0,0,0,0,0,2,0,0,0
"P55809",0,0,0,0,0,0,2,0,0,0
"O43175",0,0,0,0,0,0,16,0,0,0
"Q9Y617",0,0,0,0,0,0,1,0,0,0
"P50454",0,0,0,0,0,0,13,0,0,18
"Q01105",16,12,0,0,0,0,0,0,0,0
"O43765",0,4,0,0,0,0,0,0,0,0
"Q96EQ0",0,3,0,0,0,0,0,0,0,0
"Q9NR45",0,0,0,0,0,0,2,0,0,0
"P63208",2,0,0,0,0,0,0,0,0,0
"P00441",0,15,7,0,0,0,0,0,0,0
"P04179",0,0,0,0,0,3,9,6,8,11
"P49458",0,0,0,0,0,0,0,0,0,1
"P37108",0,0,0,0,0,0,2,0,0,0
"P31948",2,0,0,0,0,0,6,0,0,0
"P16949",0,0,0,0,0,0,10,0,0,0
"Q8NBJ7",0,0,0,0,0,0,2,0,0,0
"P49588",0,0,0,0,0,0,2,0,0,0
"P14868",0,0,0,0,0,0,2,0,0,0
"P07814",0,0,0,0,0,0,5,0,0,0
"Q16563",2,6,7,6,6,6,0,0,0,0
"P26639",0,0,0,0,0,0,6,0,0,0
"P37840",0,9,0,0,0,0,0,0,2,0
"O76070",0,26,2,2,0,11,0,0,0,0
"P26640",0,0,0,0,0,0,4,0,0,0
"Q12962",1,0,0,0,0,0,0,0,0,0
"Q01995",0,0,0,0,0,0,0,0,0,19
"P37837",0,0,0,0,0,0,3,0,0,0
"Q9BQE3",0,0,0,0,0,0,4,0,0,0
"P68366",0,0,0,0,0,0,10,0,0,0
"Q13885",3,2,0,0,0,0,52,0,1,1
"Q13509",0,0,0,0,0,0,1,0,0,0
"P53999",0,0,0,0,0,0,4,0,0,0
"P17987",0,0,0,0,0,0,8,0,0,0
"P78371",0,0,0,0,0,0,12,0,0,0
"P50991",0,0,0,0,0,0,13,0,0,0
"P48643",0,0,0,0,0,0,5,0,0,0
"Q99832",0,0,0,0,0,0,11,0,0,0
"P40227",0,0,0,0,0,0,6,0,0,0
"P55072",0,0,0,0,0,0,50,0,0,0
"Q15554",0,0,0,0,0,0,2,0,0,0
"P10599",0,20,4,0,0,4,0,0,0,0
"P52888",0,0,0,0,0,0,5,0,0,0
"P04216",0,0,0,0,0,0,0,0,0,3
"Q13263",0,0,0,0,0,0,9,0,0,0
"Q9Y5L4",0,0,0,0,0,0,2,0,0,2
"Q9Y490",0,0,0,0,0,0,60,0,0,0
"Q92973",0,0,0,0,0,0,5,0,0,0
"P07951",10,0,0,0,0,0,0,0,0,0
"Q12931",1,0,0,0,0,0,6,0,0,0
"P68036",0,0,0,0,0,0,0,0,0,3
"Q15819",0,0,0,0,0,0,2,0,0,0
"P22314",0,0,0,0,0,0,28,0,0,0
"P61088",0,0,0,0,0,0,1,0,0,0
"Q9UMX0",0,64,13,1,0,0,0,0,0,0
"Q9UHD9",0,10,8,0,0,0,0,0,0,2
"P61960",0,0,0,0,0,0,0,0,0,3
"P52758",0,0,0,0,0,0,0,0,0,2
"P21796",6,5,0,0,0,8,5,0,0,16
"P08670",15,0,0,0,0,0,41,0,0,3
"O14980",0,0,0,0,0,0,2,0,0,0
"P12956",0,0,0,0,0,0,24,0,0,0
"P30443",0,0,5,4,5,0,4,0,0,0
"P01892",0,4,0,0,0,0,0,0,0,0
"P18462",0,0,0,0,0,0,2,0,0,0
"P01889",0,2,2,0,0,0,0,0,0,0
"P62736",16,14,0,0,3,0,54,5,5,9
"Q562R1",3,2,0,0,0,0,0,0,0,0
"Q9BYX7",7,5,0,0,0,0,18,0,0,4
"Q13155",0,0,0,0,0,0,1,0,0,0
"Q04828",0,0,0,0,0,0,12,0,0,0
"P02768",2,7,0,0,1,0,0,0,0,0
"P05090",2,0,0,0,0,0,0,0,0,0
"Q8WWM7",0,0,0,0,0,0,0,0,0,1
"Q8TCZ2",4,2,0,0,0,0,0,0,0,0
"P27824",6,0,0,0,0,0,0,0,0,0
"Q01518",0,0,0,1,0,0,3,0,0,0
"Q9H2F9",2,0,0,0,0,0,0,0,0,0
"Q9Y6H1",0,0,0,0,4,0,4,2,2,2
"O60888",0,5,0,0,2,0,0,0,0,0
"P33316",0,0,0,0,0,2,10,0,0,4
"P63167",0,0,0,0,1,0,0,0,0,0
"P29692",0,0,0,0,0,0,13,0,0,0
"P26641",0,0,0,0,0,0,15,0,0,0
"P04406",32,55,22,10,18,25,42,4,3,14
"Q14697",5,0,0,0,0,0,19,0,0,0
"P50395",0,0,0,0,0,0,10,0,0,0
"P14136",5,7,2,3,5,4,4,6,4,3
"P35754",0,0,0,0,0,0,0,0,0,2
"Q9BX68",0,2,0,0,2,0,0,0,0,0
"P01893",0,2,2,0,0,0,0,0,0,0
"P61978",10,10,0,1,0,0,14,0,0,2
"P34931",2,12,0,3,6,5,28,0,0,0
"Q58FG1",0,0,0,0,0,0,8,0,0,0
"Q58FG0",0,0,0,0,0,0,7,0,0,0
"O75506",5,0,0,0,0,0,0,0,0,0
"P13645",20,45,40,49,50,38,32,20,43,28
"P02533",0,4,0,6,4,3,2,0,5,0
"P08779",0,0,0,0,2,0,0,0,0,0
"Q04695",0,0,0,0,0,0,5,2,0,0
"P35527",6,12,14,18,31,11,19,8,18,9
"Q15323",0,0,0,0,8,0,0,0,0,0
"P35908",19,41,23,29,35,23,21,11,24,25
"P02538",0,2,0,2,4,0,0,0,0,0
"P08729",2,0,0,0,0,0,10,0,0,0
"P05787",9,0,0,0,3,2,16,1,0,0
"Q14533",0,0,0,0,5,0,0,0,0,0
"P78386",0,0,0,0,2,0,0,0,0,0
"Q9Y383",0,0,0,0,0,0,2,0,0,0
"P55145",0,0,0,0,0,0,0,0,0,10
"P40925",0,4,0,0,0,0,1,0,0,0
"Q13503",0,1,0,0,0,0,0,0,0,0
"Q8N4Q1",2,0,0,0,0,0,0,0,0,0
"P49006",2,0,0,0,0,0,0,0,0,0
"P58546",0,4,8,0,0,2,0,0,0,0
"P35749",0,0,0,0,0,0,5,0,0,0
"P05976",0,2,0,0,0,0,2,0,0,0
"Q9H009",0,0,0,0,0,0,2,0,0,0
"O60361",0,0,0,5,5,7,9,9,9,15
"P15531",0,0,0,0,0,0,0,4,0,0
"P22392",0,0,0,0,0,0,2,0,0,2
"Q15843",0,0,0,0,0,5,6,5,4,4
"P18615",0,0,0,0,0,0,1,0,0,0
"P61916",0,0,0,0,2,2,2,2,2,4
"P36957",2,2,0,0,0,0,0,0,0,0
"P11940",0,0,3,4,4,0,0,2,2,2
"Q15366",0,0,0,0,0,1,10,0,0,0
"O15173",7,2,0,0,0,0,0,0,0,0
"P12273",2,2,0,3,0,0,0,0,0,1
"P62333",0,0,0,0,0,0,1,0,0,0
"P22234",0,0,0,0,0,0,14,0,0,0
"P62750",4,0,0,0,0,0,5,0,0,0
"P52815",0,0,0,0,0,0,0,0,2,2
"P62854",0,0,0,0,0,0,3,0,0,0
"Q9NQC3",6,3,0,0,0,0,0,0,0,0
"O00193",2,0,0,0,0,0,0,0,0,0
"P40763",0,0,0,0,0,0,2,0,0,0
"Q9Y3F4",0,0,0,0,0,0,2,0,0,0
"Q71U36",13,5,0,0,0,0,99,2,2,5
"P68363",2,0,0,0,0,0,17,0,0,2
"Q9H4B7",0,0,0,0,0,0,24,0,0,0
"P68371",5,0,0,0,0,0,36,0,0,0
"Q99867",0,0,0,0,0,0,2,1,0,0
"P07437",2,0,0,0,0,0,26,0,0,0
"Q9BUF5",0,0,0,0,0,0,2,0,0,0
"P29401",2,0,0,0,0,25,76,25,33,36
"P55327",0,18,11,0,0,0,0,0,0,0
"O43399",0,8,0,0,0,0,0,0,0,2
"P51668",0,0,0,0,0,0,1,0,0,0
"P25311",0,2,0,0,0,0,0,0,0,0
"P08195",9,19,0,0,0,0,0,0,0,0
"P52209",0,0,0,0,0,0,4,0,0,0
"P49748",2,0,0,0,0,0,0,0,0,0
"Q99798",0,0,0,0,0,4,8,0,1,6
"P12814",5,0,0,0,0,0,48,0,0,0
"Q12904",0,0,0,0,0,0,2,0,0,0
"P04075",6,26,0,0,0,0,4,0,0,0
"P07355",8,0,0,0,5,71,127,91,109,130
"P20073",0,0,0,0,0,0,1,0,0,0
"P18859",0,2,8,8,15,5,2,0,0,0
"Q07812",0,4,0,0,0,0,0,0,0,0
"Q9H3K6",0,0,0,2,2,0,0,0,0,0
"P11586",0,0,0,0,0,0,18,0,0,0
"Q5JTJ3",0,0,0,2,12,12,8,2,3,4
"P62158",9,0,0,0,0,0,0,0,0,0
"P47756",0,0,0,0,0,0,3,0,0,0
"P42771",0,2,0,0,0,0,6,0,0,0
"P60033",0,0,0,0,3,0,0,0,0,0
"P06493",0,0,0,0,0,0,3,0,0,0
"P62633",0,0,0,0,0,0,2,0,0,0
"Q8N129",0,4,0,0,0,0,0,0,0,0
"P31327",11,0,0,0,0,0,13,0,0,6
"P14854",0,0,6,14,16,8,0,0,0,0
"P08174",30,1,0,0,0,0,0,0,0,0
"Q9NP97",0,0,4,8,8,4,0,0,0,0
"P49411",1,0,0,0,0,0,4,0,0,0
"Q99613",0,0,0,0,0,0,2,0,0,0
"Q01844",0,0,0,0,0,0,2,0,0,0
"Q16658",0,0,0,0,0,0,9,0,0,0
"Q96AE4",0,4,4,2,4,7,6,0,0,2
"Q92945",0,0,0,0,0,4,0,0,0,0
"P11413",0,0,0,0,0,0,6,0,0,0
"P63244",0,0,0,0,0,2,22,0,0,0
"P52565",0,0,0,0,0,0,15,0,0,0
"Q9UBQ7",0,0,0,0,0,0,4,0,0,0
"P11021",15,7,0,0,0,0,97,1,0,0
"P31943",2,0,0,0,2,2,8,0,0,2
"P07910",1,0,0,0,0,0,3,0,0,0
"P07900",4,0,0,0,0,0,46,0,0,0
"P20810",0,19,0,0,0,0,0,0,0,0
"Q04637",0,0,0,0,0,0,3,0,0,0
"P63241",5,2,0,0,0,0,8,0,0,0
"P00568",0,0,0,0,0,0,0,0,0,8
"P27816",0,0,0,0,0,0,3,0,0,0
"P35580",0,0,0,0,0,0,5,0,0,0
"Q13765",12,2,0,0,0,0,11,0,0,0
"P49321",0,0,0,0,0,0,4,0,0,0
"Q9NX14",0,1,0,0,0,0,0,0,0,0
"Q9UKK9",0,5,0,0,0,0,0,0,0,0
"Q8WUM4",0,0,0,0,0,0,4,0,0,0
"Q15084",4,1,0,0,0,0,6,0,0,0
"P62937",0,0,0,9,17,21,48,29,33,60
"P50897",0,0,0,1,4,0,2,0,0,0
"P61289",0,0,0,0,0,0,3,0,0,0
"P20962",2,0,0,0,0,0,0,0,0,0
"P14927",0,0,0,0,0,3,4,0,5,8
"P62826",0,0,0,0,0,0,25,0,0,0
"P43487",2,0,0,0,0,0,0,0,0,0
"Q14257",0,0,0,0,0,0,1,0,0,0
"P62906",0,0,0,0,0,0,3,0,0,0
"P50914",0,0,0,0,0,0,4,0,0,0
"P83731",0,0,0,0,0,0,7,0,0,0
"P62899",2,0,0,0,0,0,2,0,0,0
"Q02878",0,0,0,0,0,0,10,0,0,0
"P18124",0,0,0,0,0,0,10,0,0,0
"P62857",0,0,0,0,0,2,0,0,7,19
"P62241",0,0,0,0,0,0,20,0,0,0
"P08865",6,4,0,0,0,0,4,0,0,0
"P07602",0,5,9,0,0,0,0,0,0,0
"Q13228",0,0,3,2,0,0,0,0,0,0
"P35237",0,10,0,0,0,0,0,0,0,0
"P41250",0,0,0,0,0,0,1,0,0,0
"P41252",0,0,0,0,0,0,3,0,0,0
"P37802",0,0,0,0,7,13,25,16,25,37
"Q15185",2,0,0,0,0,0,5,0,0,0
"Q99757",0,4,0,0,0,0,0,0,0,0
"P60174",3,0,2,5,11,2,22,0,0,3
"P09493",6,0,0,0,0,0,0,0,0,0
"O43396",0,0,0,0,0,0,4,0,0,0
"Q14157",0,0,0,0,2,2,2,0,0,0
"P0C7P4",0,0,0,0,0,0,0,0,5,20
"O75083",0,0,0,0,0,0,3,0,0,0
