"","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction1","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction2","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction3","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction4","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction5","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction6","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction7","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction8","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction9","Orbitrap_HeLaNE_IEF_pH5_to_8_Fraction10"
"Q32P51",0,0,0,0,0,0,5,0,0,0
"Q58FF8",4,0,0,0,0,0,15,0,0,0
"Q58FF7",3,0,0,0,0,0,25,0,0,0
"Q8NHW5",0,0,0,0,0,0,5,0,0,0
"Q14568",0,0,0,0,0,0,1,0,0,0
"P60709",12,7,5,1,0,0,51,12,7,15
"Q9Y536",0,0,0,2,8,8,12,6,8,10
"A6NK07",0,0,0,0,0,0,3,0,0,0
"Q9NQ39",0,0,0,0,0,0,3,0,0,2
"Q96L21",0,0,0,0,0,0,2,0,0,0
"A6NHG4",0,0,0,0,0,2,5,0,0,0
"P33778",0,0,0,0,0,0,4,2,0,0
"P62987",2,1,4,4,4,4,6,4,4,5
"P04908",6,2,2,0,6,0,10,8,5,4
"P83916",0,0,0,0,0,0,3,0,0,0
"P62258",4,0,0,0,0,0,8,0,0,0
"P27348",0,0,0,0,0,0,2,0,0,0
"P63104",0,0,0,0,0,0,8,0,0,0
"P30153",0,0,0,0,0,0,3,0,0,0
"P00505",0,0,0,0,0,0,0,0,0,45
"P53396",0,0,0,0,0,0,24,0,0,0
"Q9NPJ3",0,0,0,0,0,0,0,0,0,1
"O43707",2,0,0,0,0,0,49,0,0,0
"P05141",6,0,4,2,0,4,4,3,0,6
"P12236",1,0,0,0,0,0,0,0,0,1
"P52594",0,0,0,0,2,0,0,0,0,0
"Q09666",0,20,44,33,34,36,38,4,7,11
"Q8IVF2",0,0,0,1,0,0,0,0,0,0
"P42330",0,0,0,0,0,0,4,0,0,0
"P49419",0,0,0,0,13,9,5,0,0,0
"Q9BTT0",0,0,0,0,0,0,2,0,0,0
"O75179",0,0,0,0,0,0,0,0,0,1
"P50995",0,0,0,0,0,0,3,0,0,0
"P04083",0,0,0,2,19,23,44,15,10,25
"P12429",0,0,0,0,0,0,1,0,0,0
"P08758",4,56,0,0,0,0,2,0,0,0
"P27695",0,0,0,0,0,0,6,0,0,0
"P84077",0,0,0,0,0,0,4,0,0,0
"P25705",16,7,0,0,0,0,0,0,0,10
"P06576",21,21,0,0,0,0,0,0,0,19
"P48047",4,0,0,0,0,0,0,0,0,0
"P35613",8,19,8,0,0,0,0,0,0,0
"P80723",16,48,18,8,5,0,0,0,0,5
"P20290",3,0,0,0,0,0,0,0,0,0
"Q9Y6E2",0,0,0,0,0,0,1,0,0,0
"Q99622",0,2,3,0,0,0,0,0,0,0
"Q07021",3,0,0,0,0,0,0,0,0,0
"P27797",10,0,0,0,0,0,22,0,0,0
"Q14444",0,0,0,0,0,0,6,0,0,0
"Q9UBR2",0,7,0,0,0,0,0,0,0,0
"P16152",0,0,0,0,0,0,11,0,0,0
"O75828",0,0,0,0,0,0,1,0,0,0
"Q13185",0,0,0,0,0,0,3,0,0,0
"Q8IX12",0,0,0,0,0,0,0,0,0,1
"Q4VC31",0,0,0,0,0,1,2,0,0,0
"P16070",13,0,0,0,0,0,0,0,0,0
"P13987",22,16,18,6,4,0,0,0,0,0
"P60953",0,0,0,0,0,0,5,0,0,0
"P61604",8,7,2,2,2,7,12,16,23,26
"P10809",52,26,0,0,0,0,30,0,0,19
"Q9UHD1",0,0,0,0,0,0,4,0,0,0
"Q8WUH6",0,0,0,0,0,0,0,0,0,4
"Q00610",0,0,0,0,0,0,37,0,0,0
"O00299",0,0,0,0,0,0,6,0,0,0
"Q9Y224",0,0,0,0,0,0,2,0,0,0
"P23528",8,0,0,5,10,15,30,21,35,49
"Q9Y281",0,0,0,0,0,2,5,0,0,2
"O75208",0,1,0,0,0,0,0,0,0,0
"P20674",0,5,2,0,0,0,0,0,0,0
"P52943",0,0,0,0,0,0,0,0,1,4
"Q969H8",0,0,0,4,12,6,1,0,0,0
"O75534",0,0,0,0,0,0,1,0,0,0
"P21291",1,0,0,0,0,0,6,0,0,17
"P99999",0,0,0,0,0,0,0,0,0,16
"P98082",0,2,0,0,0,0,0,0,0,0
"O00571",0,0,0,0,0,0,6,0,0,0
"P60981",0,0,0,0,0,0,8,0,0,0
"P31689",0,0,0,0,0,0,4,0,0,0
"Q9H3Z4",0,2,0,0,0,0,0,0,0,0
"Q14204",0,0,0,0,0,0,3,0,0,0
"O60869",0,0,0,0,0,0,0,0,1,2
"P68104",2,0,0,0,0,0,30,2,0,0
"P24534",0,0,0,0,0,0,14,0,0,0
"P13639",0,0,0,0,0,0,43,0,0,2
"P06733",17,8,0,2,10,48,211,67,64,167
"P13929",1,0,0,0,0,2,11,2,3,4
"P14625",2,0,0,0,0,0,18,0,0,0
"P58107",0,0,0,0,0,0,11,0,0,0
"P30040",0,0,0,0,0,0,2,0,0,0
"P13804",0,0,0,2,3,1,0,0,0,0
"P15311",0,0,0,0,0,0,18,0,0,0
"P50502",7,0,0,0,0,0,9,0,0,0
"P49327",0,0,0,0,0,0,28,0,0,0
"P39748",0,0,0,0,0,0,3,0,0,0
"Q9Y3D6",0,0,0,0,0,0,0,0,0,8
"P26885",0,0,0,0,0,0,0,2,5,13
"Q02790",0,0,0,0,0,0,11,0,0,0
"P21333",5,4,0,0,0,0,95,0,0,0
"O75369",0,0,0,0,0,0,34,0,0,0
"Q16595",0,3,0,0,0,0,0,0,0,0
"P07954",0,0,0,0,7,12,13,3,0,0
"P51114",0,0,0,0,0,0,1,0,0,0
"Q13283",0,0,0,0,0,0,5,0,0,0
"P06744",0,0,0,0,0,0,29,0,0,7
"P06396",0,0,0,0,0,0,7,0,0,0
"O75223",0,7,0,0,0,0,0,0,0,0
"Q04446",0,0,0,0,0,0,2,0,0,0
"P14314",0,0,0,0,0,0,8,0,0,0
"P38646",17,10,0,0,0,0,16,0,0,12
"P00390",0,0,0,0,0,4,7,2,0,0
"P21266",0,0,0,0,0,0,7,0,0,0
"P09211",7,46,10,0,0,0,16,0,0,0
"P62805",9,0,8,0,12,0,14,16,12,10
"O14929",0,0,0,0,0,0,5,0,0,0
"Q99714",0,0,0,0,3,14,18,12,10,11
"Q9NRV9",0,0,5,0,0,0,0,0,0,0
"P49773",0,0,0,0,0,0,2,0,0,0
"P09429",0,0,0,0,0,0,2,0,0,0
"Q9H910",0,0,0,0,0,0,0,0,3,9
"Q14103",2,0,0,0,0,0,4,0,0,0
"P52597",0,0,0,0,0,0,4,0,0,0
"O60506",0,0,0,0,0,0,4,0,0,0
"Q00839",0,0,0,0,0,0,14,0,0,0
"Q92598",0,0,0,0,0,0,2,0,0,0
"P08238",2,0,0,0,0,0,45,0,0,0
"P08107",0,0,0,0,0,0,43,0,0,0
"P54652",0,0,0,0,0,0,17,0,0,0
"P11142",0,10,0,0,0,0,78,0,0,0
"P04792",13,6,7,12,10,10,22,5,0,6
"O75874",0,0,0,0,0,0,2,0,0,0
"P60842",2,0,0,0,0,0,22,0,0,0
"P56537",4,0,0,0,0,0,0,0,0,0
"P52292",0,0,0,0,0,0,5,0,0,0
"Q14974",0,0,0,0,0,0,10,0,0,0
"P12268",0,0,0,0,0,0,8,0,0,0
"P46940",0,0,0,0,0,0,25,0,0,0
"P05556",7,6,0,0,0,0,0,0,0,0
"P05783",4,0,0,0,0,0,11,0,0,0
"P04264",43,58,50,82,102,63,79,27,63,44
"P54819",0,0,0,0,0,3,9,5,3,6
"Q9UIJ7",0,0,0,0,0,0,0,0,0,14
"P10644",0,0,0,0,0,0,2,0,0,0
"P12277",2,0,0,0,0,0,9,0,0,0
"P14618",6,1,0,0,4,7,113,6,0,6
"P05455",0,0,0,0,0,0,2,0,0,0
"P11279",2,2,0,0,0,0,0,0,0,0
"P00338",0,0,0,0,0,0,26,0,0,11
"P07195",6,10,5,5,9,0,32,0,0,2
"P09382",0,12,11,0,0,0,0,0,0,0
"P17931",0,0,0,0,0,0,0,0,0,13
"P02545",0,0,0,0,0,0,3,0,0,3
"Q8N1G4",0,0,0,0,0,0,2,0,0,0
"Q9UNF1",0,0,0,0,0,0,2,0,0,0
"P29966",12,12,2,0,0,0,0,0,0,0
"P25205",0,0,0,0,0,0,2,0,0,0
"P33991",0,0,0,0,0,0,5,0,0,0
"P33992",0,0,0,0,0,0,1,0,0,0
"P33993",0,0,0,0,0,0,7,0,0,0
"P40926",0,0,0,0,0,0,24,0,0,33
"P31153",0,0,0,0,0,0,3,0,0,0
"P14174",0,0,0,0,0,0,0,0,0,9
"P26038",0,0,0,0,0,0,3,0,0,0
"P20645",0,2,0,0,0,0,0,0,0,0
"Q13126",0,0,0,2,3,2,2,0,0,0
"P35579",0,0,0,0,0,0,90,0,0,0
"P60660",5,8,0,0,0,0,11,0,0,0
"P14649",0,3,0,0,0,0,4,0,0,0
"O43678",0,0,0,0,0,0,0,0,0,5
"O14745",0,2,0,0,0,0,2,0,0,0
"P22307",0,0,0,0,0,0,0,0,0,18
"P55209",0,0,0,0,0,0,5,0,0,0
"P06748",0,0,0,0,0,0,1,0,0,0
"P15559",0,0,0,0,0,0,11,0,0,2
"Q08J23",0,0,0,0,0,0,3,0,0,0
"P19338",2,0,0,0,0,0,18,0,0,0
"Q9Y266",0,2,0,0,0,0,0,0,0,0
"Q9NTK5",0,0,0,0,0,0,2,0,0,0
"P47712",0,0,0,0,0,0,2,0,0,0
"Q8NC51",0,0,0,0,0,0,2,0,0,2
"Q99497",0,0,0,7,11,6,9,2,0,0
"Q15365",0,0,0,0,15,16,18,4,0,1
"P12004",1,0,0,0,0,0,0,0,0,0
"Q53EL6",0,0,0,0,0,0,7,0,0,0
"O14737",0,0,0,0,0,0,4,1,0,0
"P07237",8,2,0,0,0,0,17,0,0,0
"P30101",0,0,0,0,0,0,18,0,0,0
"Q96HC4",0,0,0,0,0,0,0,0,0,2
"P30086",0,0,0,0,0,2,26,2,7,30
"Q9UHV9",0,0,0,0,2,5,6,1,1,0
"O15212",0,0,0,0,0,2,0,2,2,4
"P18669",2,0,0,0,0,0,14,0,0,0
"P00558",1,30,0,0,0,1,43,9,15,34
"Q13526",0,0,0,0,0,0,1,0,0,3
"O60664",0,23,0,2,6,4,0,0,0,0
"P13797",0,0,0,0,0,0,10,0,0,0
"P67775",0,0,0,0,0,0,3,0,0,0
"P24666",0,0,0,0,0,0,7,0,0,0
"P23284",2,0,0,0,0,0,29,0,0,2
"P30405",0,0,0,0,0,0,0,0,0,8
"P48634",0,0,0,0,0,0,0,0,0,1
"Q06830",0,0,0,0,22,31,36,36,57,66
"P32119",0,0,0,0,2,1,8,2,0,1
"P30044",0,0,0,16,30,40,34,40,39,37
"P07737",2,2,0,5,15,29,45,35,48,79
"P17980",0,0,0,0,0,0,3,0,0,0
"P43686",0,0,0,0,0,0,1,0,0,0
"P28066",0,5,0,0,0,0,0,0,0,0
"O14818",0,0,0,0,0,0,2,0,0,0
"P20618",0,0,0,0,0,0,2,0,0,0
"P49720",0,0,0,0,0,0,3,0,0,0
"O43242",0,0,0,0,0,0,2,0,0,0
"P26599",0,0,0,0,0,0,3,0,0,0
"P22102",0,0,0,0,0,0,2,0,0,0
"P31939",0,0,0,0,0,0,22,0,0,0
"P62820",0,0,0,0,0,0,3,0,0,0
