"","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction1","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction2","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction3","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction4","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction5","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction6","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction7","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction8","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction9","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction10"
"Q9Y224",2,2,0,0,0,0,0,0,0,0
"Q9Y2B0",4,4,0,0,0,0,0,0,0,0
"Q9BT09",0,0,0,0,2,0,0,0,0,0
"P23528",17,0,0,16,76,56,37,50,138,129
"Q9Y281",0,0,0,8,6,10,15,14,20,19
"P61923",0,2,0,0,0,0,0,0,0,0
"Q14019",0,0,21,9,0,0,0,0,0,0
"O75131",0,0,0,0,4,0,0,0,0,0
"P52943",0,0,0,0,0,0,0,0,5,12
"P46108",0,0,2,0,0,0,0,0,0,0
"Q969H8",0,0,0,0,26,19,5,0,0,0
"Q99627",1,3,0,0,0,0,0,0,0,0
"P21291",0,0,0,0,0,0,0,0,11,14
"Q9HB71",0,0,0,0,0,0,0,0,5,3
"P99999",0,0,0,0,0,0,0,0,0,7
"P04080",0,0,0,2,18,13,2,0,0,0
"P98082",0,0,2,2,0,0,0,0,0,0
"P16989",8,12,0,0,0,0,0,0,0,0
"Q96C86",0,2,0,0,0,0,0,0,0,0
"O94760",0,0,15,0,0,0,0,0,0,0
"O95865",0,0,9,0,0,0,0,0,0,0
"O00571",5,0,0,0,0,0,0,0,0,0
"P60981",0,0,0,0,18,12,8,10,24,22
"Q3LXA3",0,0,0,9,24,9,0,0,0,0
"P09622",0,0,0,0,0,0,2,0,0,0
"Q9UHL4",0,0,5,0,0,0,0,0,0,0
"Q13011",0,0,0,0,4,0,0,0,0,0
"P30084",0,0,0,0,3,0,0,0,0,0
"P42126",0,0,0,8,0,0,0,0,0,0
"O60869",0,0,0,0,0,0,0,0,2,2
"P68104",23,30,2,5,0,0,0,0,0,6
"P24534",10,13,1,0,0,0,0,0,0,1
"P13639",26,21,0,0,18,48,25,3,0,0
"Q15369",1,2,0,0,0,0,0,0,0,0
"P06733",77,46,13,0,48,110,276,303,452,515
"P13929",2,3,2,0,0,1,4,10,28,38
"P09104",0,2,0,0,0,0,0,0,0,0
"P14625",23,17,0,0,0,0,0,0,0,0
"P58107",10,12,0,0,0,0,0,0,0,0
"P84090",0,0,10,4,0,0,0,0,0,0
"P30040",2,0,0,54,35,11,0,0,0,1
"P30042",0,0,0,4,1,0,0,0,0,0
"P10768",0,0,21,8,0,0,0,0,0,0
"P13804",0,0,0,29,24,0,0,0,0,0
"P38117",0,0,0,20,4,0,0,0,0,0
"P15311",15,14,0,15,38,16,0,0,0,0
"P50502",16,13,0,0,0,0,0,0,0,0
"Q9NUQ9",0,0,0,36,8,0,0,0,0,0
"P16930",0,0,0,0,4,4,0,0,0,0
"Q01469",0,0,0,40,13,2,0,0,0,0
"P49327",20,36,0,0,0,0,0,0,0,0
"P26885",0,0,0,0,0,0,0,0,20,30
"Q02790",9,7,0,0,0,0,0,0,0,0
"P21333",50,118,0,2,0,0,0,0,0,0
"O75369",11,41,0,0,0,0,0,0,0,0
"P02794",0,0,2,0,0,0,0,0,0,0
"Q96CP2",0,0,0,0,0,0,0,0,3,0
"Q13283",2,2,0,0,0,0,0,0,0,0
"P06744",8,5,0,0,0,0,0,4,56,68
"Q96C23",0,0,0,11,0,0,0,0,0,0
"P31150",0,0,0,14,25,12,0,0,0,0
"P06396",0,7,0,0,0,0,0,0,0,0
"O75223",0,32,0,0,0,0,0,0,0,0
"Q04446",0,2,0,0,0,0,0,0,0,0
"P14314",16,17,0,0,0,0,0,0,0,0
"Q14789",0,0,0,0,1,0,0,0,0,0
"Q9H8Y8",3,0,0,0,0,0,0,0,0,0
"P62993",0,0,0,23,14,0,0,0,0,0
"P38646",0,0,8,0,0,0,0,0,0,0
"Q9HAV7",0,0,2,0,0,0,0,0,0,0
"P00390",0,2,0,0,0,0,0,0,0,0
"P21266",11,5,0,0,0,0,0,0,0,0
"P78417",0,0,0,25,5,0,0,0,0,0
"P09211",46,169,73,23,0,0,0,0,0,2
"Q13442",1,16,3,0,0,0,2,4,11,14
"O14929",3,2,0,0,0,0,0,0,0,0
"Q99714",0,0,0,0,0,0,0,0,3,2
"P51858",13,33,4,3,0,0,0,0,0,0
"Q9NRV9",0,0,0,14,0,0,0,0,0,0
"P07686",0,0,2,0,0,0,0,0,0,0
"O94992",2,0,0,0,0,0,0,0,0,0
"P49773",4,2,0,6,2,0,0,0,0,0
"P09429",3,3,0,0,0,0,0,0,0,0
"Q9H910",0,0,0,0,0,0,0,9,25,26
"O14979",0,0,0,0,2,0,0,0,0,0
"Q14103",9,6,0,0,0,0,0,0,0,0
"P52597",2,4,0,0,0,0,0,0,0,0
"O60506",4,4,0,0,0,0,0,0,0,0
"Q00839",12,9,0,1,0,0,0,0,0,0
"P00492",0,0,0,25,16,6,0,0,0,0
"P08238",36,49,2,2,0,0,0,0,0,0
"P08107",28,29,2,4,0,0,0,0,0,7
"P34932",11,10,0,0,0,0,0,0,0,0
"P11142",51,63,3,4,2,0,0,0,0,5
"P04792",24,19,9,20,8,5,0,0,0,0
"Q2TAA2",0,4,0,0,0,0,0,0,0,0
"O75874",0,2,1,0,0,0,0,0,0,0
"P41091",1,0,0,0,0,0,0,0,0,0
"P60842",15,20,0,0,0,0,0,0,0,0
"Q15056",0,0,0,0,0,4,5,7,9,5
"P56537",20,1,0,0,0,0,0,0,0,0
"P30740",0,0,0,51,28,6,0,0,0,0
"P52292",6,7,0,0,0,0,0,0,0,0
"Q14974",13,11,0,0,0,0,0,0,0,0
"P12268",6,10,0,0,0,0,0,0,0,0
"P29218",0,0,14,0,0,0,0,0,0,0
"O95373",1,2,0,0,0,0,0,0,0,0
"Q15181",0,0,0,58,90,34,0,0,0,0
"P46940",33,32,0,0,0,0,0,0,0,0
"P05161",0,0,0,0,0,2,2,2,1,0
"Q96CN7",0,0,0,0,14,13,9,0,0,0
"Q9BY32",0,12,0,0,0,0,0,0,0,0
"P05783",8,6,0,0,0,0,0,0,0,0
"P04264",81,64,78,56,73,78,74,87,79,106
"P54819",0,0,0,0,0,0,2,8,21,13
"P10644",1,2,0,0,0,0,0,0,0,0
"Q6YP21",0,0,10,0,0,0,0,0,0,0
"P12277",15,5,0,0,0,0,0,0,0,0
"P14618",82,111,6,4,0,0,3,4,10,31
"Q16719",0,0,0,8,34,3,0,0,0,0
"P05455",4,0,0,0,0,0,0,0,0,0
"P00338",21,14,0,0,26,52,66,41,35,26
"P07195",22,16,10,22,32,36,47,32,18,12
"P09382",3,18,26,0,0,0,0,0,0,0
"P17931",0,0,0,0,0,0,0,0,18,18
"Q04760",0,0,19,0,0,0,0,0,0,0
"P43034",0,2,0,0,0,3,2,0,0,0
"P09960",0,0,71,0,0,0,0,0,0,0
"Q8N1G4",0,3,0,0,0,0,0,0,0,0
"Q32MZ4",0,1,0,0,0,0,0,0,0,0
"Q9BS40",0,0,24,4,0,0,0,0,0,0
"O95372",0,0,0,0,0,1,1,0,0,0
"P29966",11,9,1,0,0,0,0,0,0,0
"Q15691",0,5,0,0,0,0,0,0,0,0
"Q9NZL9",0,0,0,8,0,0,0,0,0,0
"P25205",2,4,0,0,0,0,0,0,0,0
"P33991",0,4,0,0,0,0,0,0,0,0
"P33992",5,4,0,0,0,0,0,0,0,0
"P33993",5,0,0,0,0,0,0,0,0,0
"P40926",0,0,0,0,0,0,0,0,15,30
"Q6P2C8",0,9,0,0,0,0,0,0,0,0
"Q9Y316",0,0,0,0,0,0,3,0,0,0
"Q14696",0,0,0,0,9,6,5,2,0,0
"P31153",4,4,0,9,0,0,0,0,0,0
"P14174",0,0,0,0,0,13,27,28,45,41
"O96033",0,2,0,0,0,0,0,0,0,0
"P26038",2,4,0,11,58,17,0,0,0,0
"Q13126",2,0,0,5,41,28,2,0,0,0
"Q96IZ6",0,0,0,2,0,0,0,0,0,0
"Q9HB07",0,12,0,0,0,0,0,0,0,0
"P35579",61,73,0,0,0,0,0,0,0,0
"P60660",7,11,0,0,0,0,0,0,0,0
"P14649",4,4,0,0,0,0,0,0,0,0
"Q9BYT8",0,0,2,0,0,0,0,0,0,0
"O14745",3,6,4,8,0,0,0,0,0,0
"Q9GZT8",0,7,0,0,0,0,0,0,0,0
"P22307",0,0,0,0,0,0,0,0,0,6
"P40261",0,0,0,6,1,0,0,0,0,0
"Q04721",0,0,4,0,0,0,0,0,0,0
"P55209",5,4,0,0,0,0,0,0,0,0
"P06748",0,2,0,0,0,0,0,0,0,0
"P15559",4,0,0,0,0,0,0,2,10,16
"Q08J23",4,4,0,0,0,0,0,0,0,0
"P61970",4,0,0,0,0,0,0,0,0,0
"Q9Y5Y2",0,0,0,6,0,0,0,0,0,0
"P19338",28,28,0,0,0,0,0,0,0,0
"Q9Y266",0,0,6,0,0,0,0,0,0,0
"Q8WVJ2",0,3,0,0,0,0,0,0,0,0
"Q9H488",0,0,0,0,0,0,0,0,0,11
"P47712",2,1,0,0,0,0,0,0,0,0
"Q9UQ80",1,2,0,0,8,0,0,0,0,0
"Q8NC51",4,5,0,0,0,0,0,0,2,2
"Q99497",4,0,0,30,61,61,40,21,8,2
"Q15365",2,3,0,0,15,35,37,15,0,0
"P12004",10,3,0,0,0,0,0,0,0,0
"Q53EL6",7,0,0,0,0,0,0,0,0,0
"O14737",0,0,4,8,6,0,0,0,0,0
"O75340",0,0,0,11,0,0,0,0,0,0
"P07237",28,17,0,0,0,0,0,0,0,0
"P30101",10,11,0,0,0,0,0,0,0,0
"P30086",0,0,0,0,0,0,9,23,72,85
"Q9UBV8",0,0,0,9,1,0,0,0,0,0
"P12955",0,0,0,2,0,0,0,0,0,0
"Q9UHV9",0,0,0,10,10,7,2,0,2,3
"Q99471",2,2,0,0,0,0,0,0,0,0
"O15212",0,0,0,0,0,0,0,0,4,5
"P18669",8,5,5,11,6,4,0,0,2,5
"P00558",35,4,8,2,0,0,24,61,150,179
"P36871",0,0,0,50,95,51,0,0,0,0
"Q96G03",0,0,0,40,8,0,0,0,0,0
"A6NDG6",0,4,0,0,0,0,0,0,0,0
"Q9NRX4",0,1,0,0,0,0,0,0,0,0
"Q13526",0,0,0,0,0,0,3,2,10,18
"Q00169",0,0,0,10,0,0,0,0,0,0
"O00625",0,0,0,0,0,9,13,10,6,0
"O60664",0,11,0,0,12,8,0,0,0,0
"P13797",0,3,0,0,0,0,0,0,0,0
"P67775",0,7,0,0,0,0,0,0,0,0
"P24666",0,0,0,7,51,41,40,24,14,5
"P48147",0,17,0,0,0,0,0,0,0,0
"P23284",12,0,0,0,0,0,0,0,14,23
"P30405",0,0,0,0,0,0,0,0,2,4
"Q9Y3C6",0,0,0,0,0,0,6,4,0,2
"Q9H2H8",0,0,0,10,1,0,0,0,0,0
"Q06830",20,18,0,0,60,101,86,55,148,153
"P32119",2,0,11,19,20,27,25,10,8,4
"P30048",0,0,0,10,0,0,0,0,0,0
"P30044",0,0,0,0,17,35,54,50,57,45
"P30041",10,0,153,147,78,31,0,0,0,0
"P07737",24,0,0,0,13,21,39,66,271,383
"P35080",0,0,18,0,0,0,0,0,0,0
"P60891",0,1,0,0,0,0,0,0,0,0
"P17980",2,0,0,0,0,0,0,0,0,0
"P43686",0,2,0,0,0,0,0,0,0,0
"P55786",0,12,0,0,0,0,0,0,0,0
"P25788",0,2,0,0,0,0,0,0,0,0
"P28066",4,15,0,0,0,0,0,0,0,0
"P60900",4,6,0,0,0,0,0,0,0,0
"O14818",4,6,0,0,0,0,0,0,0,0
"P20618",4,3,0,0,0,0,0,0,0,0
"P49721",8,10,0,0,0,12,17,9,0,0
"P49720",6,5,0,0,0,0,0,0,0,0
"P28070",1,0,0,0,0,0,0,0,0,0
"O00232",0,2,0,0,0,0,0,0,0,0
"P51665",2,3,0,0,0,0,0,0,0,0
"Q99460",0,1,0,0,0,0,0,0,0,0
"O43242",1,2,0,0,0,0,0,0,0,0
"Q16401",0,2,0,0,0,0,0,0,0,0
"O00233",0,0,0,0,6,0,0,0,0,0
"Q06323",0,6,12,0,0,0,0,0,0,0
"Q9BT73",0,0,6,0,0,0,0,0,0,0
"Q14914",0,0,0,0,0,0,0,0,9,15
"P22102",2,0,0,0,8,0,0,0,0,0
"O15067",2,0,14,0,0,0,0,0,0,0
"P31939",7,8,0,0,0,0,0,0,0,0
"P30520",0,6,0,0,0,0,0,0,0,0
"P11216",0,0,0,0,7,5,0,0,0,0
"P06737",0,0,0,0,37,15,0,0,0,0
"P62820",2,3,0,0,0,0,0,0,0,0
"Q09028",6,5,0,0,0,0,0,0,0,0
"O75884",0,0,0,1,0,0,0,0,0,0
"P98179",2,2,0,0,0,0,0,0,0,2
"O43598",1,5,0,0,0,0,0,0,0,0
"Q15293",2,0,0,0,0,0,0,0,0,0
"P54725",3,3,2,0,0,0,0,0,0,0
"P54727",0,23,0,0,0,0,0,0,0,0
"P61586",3,5,0,0,0,0,0,0,0,0
"P13489",0,0,30,0,0,0,0,0,0,0
"P62913",8,7,0,0,0,0,0,0,0,0
"P30050",18,19,0,0,0,0,0,0,0,0
"P61313",2,0,0,0,0,0,0,0,0,0
"P18621",3,4,0,0,0,0,0,0,0,0
"Q07020",8,5,0,0,0,0,0,0,0,0
"Q02543",6,4,0,0,0,0,0,0,0,0
"P84098",8,8,0,0,0,0,0,0,0,0
"P46778",10,11,0,0,0,0,0,0,0,0
"P35268",10,8,0,0,0,0,0,0,0,0
"P62829",8,10,0,0,0,0,0,0,0,0
"P39023",0,1,0,0,0,0,0,0,0,0
"P62888",7,3,0,0,0,0,0,0,0,0
"P61513",2,0,0,0,0,0,0,0,0,0
"P36578",24,19,0,0,0,0,0,0,0,0
"P46777",7,8,0,0,0,0,0,0,0,0
"P62424",13,12,0,0,0,0,0,0,0,0
"P62917",1,0,0,0,0,0,0,0,0,0
"P32969",4,2,0,0,0,0,0,0,0,0
"P05388",4,2,0,0,0,0,0,0,0,0
"P05386",4,8,2,0,0,0,0,0,0,0
"P05387",71,48,7,2,0,0,0,0,0,0
"P22626",5,7,0,0,0,0,0,0,0,2
"Q96AT9",1,2,0,0,0,0,0,0,0,0
"P46783",4,0,0,0,0,0,0,0,0,0
"P62280",3,2,0,0,0,0,0,0,0,0
"P25398",7,3,0,0,3,6,2,0,0,0
"P62277",7,0,0,0,0,0,0,0,0,0
"P62244",6,4,0,0,0,0,0,0,0,0
"P62249",9,10,0,0,0,0,0,0,0,0
"P39019",5,0,0,0,0,0,0,0,0,0
"P15880",13,11,0,0,0,0,0,0,0,0
"P63220",4,3,0,0,0,0,4,5,8,6
"P62266",4,5,0,0,0,0,0,0,0,0
"P62847",4,4,0,0,0,0,0,0,0,0
"P62979",5,2,0,0,0,0,0,0,0,0
"P23396",18,19,0,0,0,0,0,0,0,0
"P61247",9,9,0,0,0,0,0,0,0,0
"P62701",9,6,0,0,0,0,0,0,0,0
"P46782",6,4,0,0,0,0,0,0,0,0
"P62753",11,10,0,0,0,0,0,0,0,0
"P26447",0,0,0,12,10,0,0,0,0,0
"P31949",0,0,0,12,13,7,0,0,0,0
"Q96FQ6",0,0,0,0,0,5,0,0,0,0
"P82979",0,0,0,0,3,4,0,0,0,1
"Q15436",0,2,0,0,0,0,0,0,0,0
"P55809",0,0,0,47,17,0,0,0,0,0
"O43175",9,9,0,0,0,0,0,0,0,0
"P50454",2,1,0,0,0,0,0,0,19,38
"Q01105",27,23,6,0,0,0,0,0,0,0
"O75368",0,0,40,8,0,0,0,0,0,0
"Q9NR45",0,1,0,0,0,0,0,0,0,0
"P63208",5,0,0,0,0,0,0,0,0,0
"P54920",0,1,0,0,0,0,0,0,0,0
"Q9UMY4",0,0,0,0,0,0,0,0,5,8
"P00441",6,50,69,10,0,0,0,0,0,0
"P04179",0,0,0,0,0,0,0,4,7,9
"P30626",0,0,15,19,0,0,0,0,0,0
"P36952",0,0,4,109,18,0,0,0,0,0
"P19623",0,0,70,0,0,0,0,0,0,0
"Q13501",2,1,0,0,0,0,0,0,0,0
"Q9HD15",0,0,0,0,0,0,4,0,3,3
"P49458",4,5,0,0,0,0,0,0,2,0
"P37108",4,4,0,0,0,0,0,0,0,0
"P31948",11,11,0,2,8,8,0,0,0,0
"P16949",0,0,0,71,67,25,6,0,0,0
"P53597",0,0,0,8,3,0,0,0,0,0
"Q96I99",0,0,0,15,6,0,0,0,0,0
"Q8NBJ7",0,0,0,0,0,0,2,2,8,9
"P49588",0,2,0,0,0,0,0,0,0,0
"P14868",1,3,0,0,0,0,0,0,0,0
"P07814",0,6,0,0,0,0,0,0,0,0
"P12081",2,0,0,0,0,0,0,0,0,0
"Q9P2J5",0,9,0,0,0,0,0,0,0,0
"O43776",0,2,0,0,0,0,0,0,0,0
"P26639",14,32,0,0,0,0,0,0,0,0
"P37840",0,7,0,0,0,0,0,0,0,0
"O76070",2,29,0,0,0,0,0,0,0,0
"Q12962",3,0,0,0,0,0,0,0,0,0
"Q01995",0,0,0,0,0,0,0,0,34,41
"P37837",5,0,17,56,33,17,13,0,0,0
"Q9BQE3",5,5,0,0,0,0,0,0,0,0
"P68366",8,8,0,0,0,0,0,0,0,0
"Q13885",45,44,4,6,0,0,0,0,0,3
"Q13509",2,2,0,0,0,0,0,0,0,0
"P53999",5,5,0,0,0,0,0,0,0,0
"P17987",12,14,0,0,0,0,0,0,0,0
"P78371",11,16,0,0,0,0,0,0,0,0
"P50991",11,13,0,0,0,0,0,0,0,0
"P48643",7,11,0,0,0,0,0,0,0,0
"P49368",12,14,0,0,0,0,0,0,0,0
"Q99832",7,11,0,0,0,0,0,0,0,0
"P50990",8,20,0,0,0,0,0,0,0,0
"P40227",9,8,0,0,0,0,0,0,0,0
"P55072",50,58,0,0,0,0,0,0,0,0
"P02786",1,0,0,0,0,0,0,0,0,0
"P10599",0,46,104,2,0,0,0,0,0,0
"P52888",0,0,3,0,0,0,0,0,0,0
"P25325",0,0,0,4,12,0,0,0,0,0
"Q13263",6,5,0,0,0,0,0,0,0,0
"Q9Y5L4",0,0,0,0,0,0,0,0,0,2
"O75663",0,0,0,4,0,0,0,0,0,0
"Q9Y490",22,45,0,2,0,0,0,0,0,0
"P07951",17,19,0,0,0,0,0,0,0,0
"P67936",5,0,0,0,0,0,0,0,0,0
"Q9UI30",1,0,0,0,0,0,0,0,0,0
"Q12931",6,4,2,0,0,0,0,0,0,0
"Q9NXH9",1,0,0,0,0,0,0,0,0,0
"Q16881",10,9,5,6,0,0,0,0,0,0
"Q99614",5,4,0,0,0,0,0,0,0,0
"Q5R3I4",0,0,6,0,0,0,0,0,0,0
"Q6IBS0",0,0,0,0,2,0,0,0,0,0
"O14907",0,0,0,0,0,0,3,5,5,0
"Q9BRA2",0,0,39,56,4,0,0,0,0,0
"P68036",0,0,0,0,0,0,0,0,15,24
"Q15819",0,0,0,0,0,0,3,4,5,4
"P22314",29,22,0,0,0,0,0,0,0,0
"P61081",0,0,0,0,0,0,0,3,0,11
"O00762",0,0,0,1,2,0,0,0,0,0
"P61086",0,10,44,12,0,0,0,0,0,0
"P61088",0,0,0,14,11,7,0,0,0,0
"Q9UMX0",2,6,0,0,0,0,0,0,0,0
"P61960",0,0,0,0,0,0,0,0,4,4
"O60701",0,0,0,0,0,0,5,5,0,0
"P52758",0,0,0,0,0,0,0,0,4,8
"P38606",0,1,0,0,0,0,0,0,0,0
"P08670",36,35,0,0,0,0,0,0,0,0
"P18206",8,7,0,18,0,0,0,0,0,0
"O14980",0,1,0,0,0,0,0,0,0,0
"P55060",2,2,0,0,0,0,0,0,0,0
"P12956",13,11,0,0,0,0,0,0,0,0
"P30443",4,3,0,0,0,0,0,0,0,0
"P18462",1,1,0,0,0,0,0,0,0,0
"Q9Y614",0,0,0,2,5,2,0,0,0,0
"P62736",47,62,13,6,0,0,2,6,0,10
"Q562R1",1,4,0,0,0,0,0,0,0,0
"Q9BYX7",17,21,0,0,0,0,0,0,0,0
"P07311",0,0,0,0,0,0,0,0,7,8
"Q13155",1,2,0,0,0,0,0,0,0,0
"Q04828",3,0,0,0,4,23,41,38,25,17
"P02768",4,27,3,0,0,0,0,0,0,0
"P55789",0,0,0,0,1,1,0,0,0,0
"P56211",0,0,0,0,7,4,3,0,5,4
"P27824",1,0,0,0,0,0,0,0,0,0
"Q01518",0,3,0,0,0,0,0,0,0,0
"P40121",0,0,0,25,8,0,0,0,0,0
"Q9H2F9",0,3,0,0,0,0,0,0,0,0
"Q8NHZ8",0,0,0,2,0,0,0,0,0,0
"Q9Y6H1",0,0,0,0,0,0,0,0,2,2
"Q9BXV9",2,3,0,0,0,0,0,0,0,0
"Q9BRF8",0,0,0,6,0,0,0,0,0,0
"O60888",5,11,0,2,0,0,0,0,0,0
"O43583",0,0,0,0,2,0,0,0,0,0
"P33316",7,0,0,48,55,32,10,2,0,0
"P63167",0,0,0,0,9,7,2,0,0,0
"Q96FJ2",0,0,0,0,1,0,0,0,0,0
"P29692",10,12,0,0,0,0,0,0,0,0
"P26641",12,19,0,6,0,0,0,0,0,0
"O60739",0,0,0,0,0,1,4,0,0,0
"P14324",0,6,5,0,0,0,0,0,0,0
"P02792",0,0,10,0,0,0,0,0,0,0
"P04406",100,410,87,48,33,14,11,15,10,27
"P51570",0,0,0,10,0,0,0,0,0,0
"Q14697",19,14,0,0,0,0,0,0,0,0
"P50395",0,0,0,50,117,59,13,0,0,0
"P14136",3,0,5,5,7,5,5,4,6,5
"P30047",0,0,0,2,4,0,0,0,0,0
"P35754",0,0,0,0,0,0,0,0,25,24
"P60983",0,0,9,4,0,0,0,0,0,0
"P09488",0,0,0,16,24,14,0,0,0,0
"O43504",3,4,0,0,0,0,0,0,0,0
"Q9BX68",0,0,0,0,9,0,0,0,0,0
"P50135",0,0,14,0,0,0,0,0,0,0
"P61978",15,20,1,0,0,0,0,0,0,0
"P32754",0,0,0,0,0,0,3,0,0,0
"P34931",20,19,11,5,6,2,2,0,0,2
