"","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction1","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction2","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction3","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction4","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction5","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction6","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction7","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction8","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction9","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction10"
"A6NEC2",0,8,0,0,0,0,0,0,0,0
"Q32P51",3,2,0,0,0,0,0,0,0,0
"Q58FF8",14,16,4,0,0,0,0,0,0,0
"Q58FF7",23,23,0,0,0,0,0,0,0,0
"Q8NHW5",10,9,0,0,0,0,0,0,0,0
"Q14568",2,0,0,0,0,0,0,0,0,0
"P60709",39,55,19,11,0,0,0,0,0,5
"Q86TX2",0,0,0,0,0,1,0,0,0,0
"Q9H0Q0",0,0,0,4,0,0,0,0,0,0
"Q9Y536",6,0,0,8,12,22,44,31,60,60
"A6NK07",2,2,0,0,0,0,0,0,0,0
"Q9NQ39",4,2,0,0,0,0,0,0,0,2
"Q96L21",0,2,0,0,0,0,0,0,0,0
"P13928",0,0,0,12,0,0,0,0,0,0
"A6NHG4",0,0,0,11,29,21,14,9,0,0
"P33778",2,2,0,0,0,0,0,0,0,0
"Q8TAA3",5,6,0,0,0,0,0,0,0,0
"P62987",6,5,4,2,6,8,7,8,6,6
"P04908",6,6,0,0,0,0,0,0,0,0
"P83916",0,2,0,0,0,0,0,0,0,0
"P62258",8,6,0,0,0,0,0,0,0,0
"Q04917",2,0,0,0,0,0,0,0,0,0
"P61981",1,0,0,0,0,0,0,0,0,0
"P27348",6,0,0,0,0,0,0,0,0,0
"P63104",11,7,0,0,0,0,0,0,0,0
"P30153",4,2,0,0,0,0,0,0,0,0
"P31937",0,0,0,16,0,0,0,0,0,0
"P36639",0,9,0,0,0,0,0,0,0,0
"P17174",0,0,0,33,9,0,0,0,0,0
"P00505",0,0,0,0,0,0,0,0,9,29
"Q96IU4",0,0,10,0,0,0,0,0,0,0
"P53396",10,20,0,0,0,0,0,0,0,0
"P21399",0,0,0,4,0,0,0,0,0,0
"P13798",5,4,0,0,0,0,0,0,0,0
"O43707",37,51,0,0,0,0,0,0,0,0
"P61163",3,4,0,0,0,0,0,0,0,0
"P11766",0,0,0,2,8,2,0,0,0,0
"Q09666",7,13,44,82,41,10,1,0,0,1
"Q8NCW5",0,5,14,0,0,0,0,0,0,0
"P14550",1,0,0,0,0,0,0,0,0,0
"P52895",0,0,0,0,2,7,17,8,7,0
"P42330",0,0,0,3,0,0,3,12,19,24
"Q02952",1,0,0,0,0,0,0,0,0,0
"P49419",0,0,0,0,43,54,30,0,0,0
"P15121",0,0,1,15,10,4,0,0,0,0
"P39687",8,9,2,2,0,0,0,0,0,0
"Q9BTT0",3,2,0,0,0,0,0,0,0,0
"O75179",0,0,0,0,0,0,1,0,0,0
"P50995",0,0,0,0,0,11,14,10,8,9
"P04083",16,7,0,5,84,118,103,51,24,19
"P12429",5,1,0,86,90,28,0,0,0,0
"P08758",31,129,17,4,0,0,0,0,0,0
"P08133",4,6,0,0,0,0,0,0,0,0
"P27695",3,5,0,0,0,0,0,0,0,0
"P07741",0,31,0,0,0,0,0,0,0,0
"P36405",0,0,0,16,0,0,0,0,0,0
"P61158",0,6,0,0,0,0,0,0,0,0
"O00244",0,0,0,4,0,0,0,0,0,0
"P25705",0,3,0,0,0,0,0,0,0,0
"P06576",2,2,0,0,0,0,0,0,0,0
"P80723",18,22,7,3,0,1,2,2,0,2
"Q9P287",2,2,0,0,0,0,0,0,0,0
"O95861",0,0,2,0,0,0,0,0,0,0
"Q5VW32",0,0,0,0,0,0,6,8,5,5
"P20290",5,4,0,0,0,0,0,0,0,0
"Q99622",0,10,0,0,0,0,0,0,0,0
"Q07021",4,1,0,0,0,0,0,0,0,0
"Q9NWV4",0,1,0,0,0,0,0,0,0,0
"P00918",0,0,0,0,0,0,10,19,18,11
"P27797",29,15,0,0,0,0,0,0,0,0
"P07858",0,0,0,5,0,0,0,0,0,0
"P53634",0,0,0,4,0,0,0,0,0,0
"P07339",0,0,0,9,6,2,0,0,0,0
"Q9UBR2",0,0,13,0,0,0,0,0,0,0
"P52907",7,0,0,0,13,0,0,0,0,0
"P47755",0,0,0,0,8,9,8,0,0,0
"P16152",13,3,14,2,1,5,20,30,36,27
"O75828",2,0,0,0,0,0,1,2,1,2
"Q13185",0,0,1,0,0,0,0,0,0,0
"Q4VC31",0,0,0,0,0,0,0,0,3,2
"Q16543",1,0,0,0,0,0,0,0,0,0
"P60953",4,2,0,0,0,0,0,0,0,0
"P32320",0,2,27,14,0,0,0,0,0,0
"Q9UKY7",0,0,2,3,12,6,0,0,0,2
"Q9P1F3",0,0,0,1,0,0,0,0,0,0
"P61604",2,2,0,0,2,0,2,7,21,25
"P10809",29,33,0,0,0,0,0,0,0,0
"Q9NZZ3",1,3,0,0,0,0,0,0,0,0
"Q9UHD1",0,0,0,0,12,21,20,5,3,2
"Q9Y2V2",0,0,0,0,2,1,0,0,0,0
"Q9BUH6",0,0,12,0,0,0,0,0,0,0
"Q9H0W9",0,0,0,0,16,14,1,0,0,0
"Q00610",38,44,0,0,0,0,0,0,0,0
"O00299",5,6,0,0,0,0,0,0,0,0
