"","Orbitrap_HeLaCE_SGF_Fraction1","Orbitrap_HeLaCE_SGF_Fraction2","Orbitrap_HeLaCE_SGF_Fraction3","Orbitrap_HeLaCE_SGF_Fraction4","Orbitrap_HeLaCE_SGF_Fraction5","Orbitrap_HeLaCE_SGF_Fraction6","Orbitrap_HeLaCE_SGF_Fraction7-2","Orbitrap_HeLaCE_SGF_Fraction8","Orbitrap_HeLaCE_SGF_Fraction9","Orbitrap_HeLaCE_SGF_Fraction10","Orbitrap_HeLaCE_SGF_Fraction11","Orbitrap_HeLaCE_SGF_Fraction12","Orbitrap_HeLaCE_SGF_Fraction13","Orbitrap_HeLaCE_SGF_Fraction14"
"P21980",0,0,0,0,1,0,0,0,9,0,0,0,0,0
"Q9Y3D7",0,1,0,0,2,2,4,0,0,0,0,0,0,0
"Q3ZCQ8",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Q9Y320",0,0,0,0,1,0,4,0,0,0,0,0,0,0
"Q9UPQ9",0,0,0,2,0,1,0,0,0,0,0,0,0,0
"Q5JTV8",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"P60174",0,0,11,19,30,36,28,34,30,23,12,0,0,0
"P62995",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Q9UBP6",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Q12792",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"O43396",0,0,13,18,0,0,0,0,0,0,0,0,0,0
"O14562",0,0,3,4,2,0,2,0,0,0,0,0,0,0
"P54578",0,0,16,13,4,0,0,0,0,0,0,0,0,0
"Q14157",0,1,0,19,12,17,4,5,6,8,13,17,22,0
"Q93009",0,0,0,2,0,3,13,5,6,0,0,0,0,0
"Q5T4S7",0,0,97,52,58,10,2,0,0,0,0,0,0,0
"Q04323",0,0,0,0,0,1,3,3,0,0,0,0,0,0
"Q9Y5K5",0,0,0,14,0,0,0,0,0,0,0,0,0,0
"P0C7P4",0,0,0,0,3,2,4,14,6,5,0,0,0,0
"Q92890",0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Q9H3U1",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Q9P0L0",0,0,0,5,20,31,27,43,39,50,15,13,12,1
"P45880",0,0,0,0,0,0,9,7,22,29,29,19,15,0
"Q9Y277",0,0,0,0,0,0,0,1,7,17,8,0,0,0
"Q96RL7",0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Q9Y4B6",0,0,0,11,1,0,0,0,0,0,0,0,0,0
"Q96MX6",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Q9UIA9",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Q9NQW7",0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Q9BYJ9",0,0,1,1,0,0,0,1,0,0,0,0,0,0
