"","Orbitrap_HeLaCE_SGF_Fraction1","Orbitrap_HeLaCE_SGF_Fraction2","Orbitrap_HeLaCE_SGF_Fraction3","Orbitrap_HeLaCE_SGF_Fraction4","Orbitrap_HeLaCE_SGF_Fraction5","Orbitrap_HeLaCE_SGF_Fraction6","Orbitrap_HeLaCE_SGF_Fraction7-2","Orbitrap_HeLaCE_SGF_Fraction8","Orbitrap_HeLaCE_SGF_Fraction9","Orbitrap_HeLaCE_SGF_Fraction10","Orbitrap_HeLaCE_SGF_Fraction11","Orbitrap_HeLaCE_SGF_Fraction12","Orbitrap_HeLaCE_SGF_Fraction13","Orbitrap_HeLaCE_SGF_Fraction14"
"P29401",0,23,72,51,64,80,50,61,58,66,32,14,16,0
"O60603",0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Q9P0S9",0,0,0,0,0,0,19,1,8,0,0,0,0,0
"Q53S58",0,0,0,0,7,0,0,0,0,0,0,0,0,0
"P19438",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"P25445",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"O60784",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"P55327",0,12,0,0,0,6,0,0,0,0,0,0,0,0
"O43399",0,24,0,3,3,5,6,3,0,0,0,0,0,0
"P07477",0,0,0,0,0,0,0,0,0,9,15,11,11,10
"Q9BZW7",0,0,0,0,6,0,0,0,0,0,0,0,0,0
"O14530",0,0,11,12,0,0,0,0,0,0,0,0,0,0
"P63027",0,0,0,0,4,5,3,6,2,4,2,0,0,0
"O95070",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Q9NUE0",0,0,0,0,0,0,0,2,2,0,0,0,0,0
"Q96GC6",7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q8N9F8",0,0,0,0,3,0,8,0,0,0,0,0,0,0
"O00488",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Q15942",0,24,0,6,0,6,0,0,0,0,0,0,0,0
"P08195",0,0,56,42,65,59,89,64,77,35,22,13,19,0
"Q8NE71",0,0,0,5,0,9,11,15,6,8,2,0,0,0
"P11310",0,0,0,6,3,7,0,5,0,2,0,0,0,0
"P49748",0,0,56,44,22,31,16,21,19,14,8,2,0,0
"Q99798",0,0,0,0,5,1,0,4,2,0,0,0,0,0
"Q9Y305",0,0,0,0,0,0,3,14,0,0,0,6,0,0
"P12814",0,0,0,0,0,2,9,8,8,0,0,0,0,0
"Q12904",0,0,1,52,25,7,2,32,28,12,9,9,15,4
"Q96B36",0,6,0,0,0,0,0,0,0,0,0,0,0,0
