"","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction10"
"P07737",8,13,4,10,9,24,31,54,200,427
"P35080",0,0,0,13,2,0,0,0,0,0
"P55786",0,0,0,24,0,0,0,0,0,0
"P28066",0,0,0,2,0,0,0,0,0,0
"P49721",0,0,0,0,0,2,9,5,0,0
"Q06323",0,2,10,19,4,0,0,0,0,0
"P26599",3,0,0,0,2,0,0,0,0,0
"Q14914",0,0,0,0,0,4,5,9,11,10
"Q6GMV3",0,0,0,0,0,5,0,0,0,0
"Q06203",0,0,0,11,0,0,0,0,0,0
"P22102",0,0,0,0,0,9,0,0,0,0
"O15067",0,0,0,54,80,0,0,0,0,0
"P31939",0,0,0,2,0,0,0,0,0,0
"P30520",0,0,0,18,5,0,0,0,0,0
"P11216",0,0,0,0,0,25,2,0,0,0
"P06737",0,0,0,0,0,66,0,0,0,0
"P22695",0,0,0,0,2,0,0,0,0,0
"P07919",0,0,2,0,0,0,0,0,0,0
"Q7Z6M1",0,0,0,0,18,0,0,0,0,0
"P98179",0,0,0,0,0,0,0,0,0,3
"O43598",0,0,14,22,0,0,0,0,0,0
"P54725",0,0,0,1,0,0,0,0,0,0
"P54727",0,0,4,3,0,0,0,0,0,0
"Q68EM7",0,0,0,0,0,0,0,0,0,2
"P61586",0,0,0,2,0,0,0,0,0,0
"P13489",0,0,0,25,3,0,0,0,0,0
"P23921",0,0,0,2,0,0,0,0,0,0
"P62913",0,0,0,4,0,0,0,0,0,0
"P30050",0,0,0,5,5,0,0,0,0,2
"Q07020",0,0,0,4,0,0,0,0,0,0
"P84098",0,0,0,2,0,0,0,0,0,2
"P62829",0,0,0,1,0,0,0,0,0,0
"P63173",0,0,0,0,0,0,0,0,0,1
"P05388",0,0,0,2,1,0,0,0,0,0
"P05386",0,0,0,2,0,0,0,0,0,0
"P05387",3,22,49,13,5,0,0,0,0,2
"P09651",0,0,0,0,4,0,0,0,0,5
"P22626",20,15,4,6,14,4,4,8,11,9
"P51991",0,1,0,0,4,0,0,1,2,4
"P25398",0,0,0,0,0,3,0,0,0,0
"P62277",0,0,0,0,0,0,0,0,0,2
"P62263",0,0,0,2,0,0,0,0,0,0
"P62244",0,0,0,3,0,0,0,0,0,0
"P39019",0,0,0,0,0,0,0,0,0,18
"P15880",0,0,0,6,0,0,0,0,0,0
"P63220",0,0,0,0,0,0,0,4,6,8
"P62851",0,0,0,0,0,0,0,0,0,10
"P62979",0,0,0,2,0,0,0,0,0,0
