"","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction10"
"A6NEC2",0,0,0,31,0,0,0,0,0,0
"P13796",0,0,0,0,8,0,0,0,0,0
"Q32P51",5,4,0,1,3,0,0,0,1,0
"Q58FF8",0,0,0,5,0,0,0,0,0,0
"Q58FF7",0,0,0,7,0,0,0,0,0,1
"Q6ZMR3",0,0,0,0,0,0,10,7,0,3
"Q8NHW5",0,0,0,2,0,0,0,0,0,0
"P60709",6,11,2,16,19,0,0,5,3,18
"Q00266",0,0,0,0,4,0,0,0,0,0
"O60812",0,8,0,0,0,0,0,0,0,0
"Q9Y536",0,0,0,0,0,8,16,19,15,15
"Q9NQ39",0,0,0,0,0,0,0,0,0,8
"P13928",0,0,0,0,4,0,0,0,0,0
"B2RPK0",0,0,0,0,0,7,6,0,2,7
"A6NHG4",0,0,0,0,24,42,32,15,4,0
"P62987",7,9,5,7,7,15,37,22,21,16
"P04908",347,219,96,63,87,39,21,19,28,16
"P00352",0,8,0,5,0,2,0,0,0,0
"Q969E4",0,0,2,0,0,0,0,0,0,0
"P61981",0,0,0,3,0,0,0,0,0,0
"P63104",0,2,0,0,2,2,0,0,0,0
"P31937",0,0,0,0,5,2,0,0,0,0
"P36639",0,0,14,15,0,0,0,0,0,0
"P17174",0,0,0,2,43,37,0,0,0,0
"P00505",15,10,0,0,0,0,0,0,1,14
"Q9UKV3",0,0,2,0,0,0,0,0,0,0
"P53396",0,2,0,0,0,4,0,0,0,0
"P21399",0,0,0,0,19,7,0,0,0,0
"O43707",0,0,0,12,7,0,0,0,0,0
"P11766",0,0,0,0,0,11,0,0,0,0
"P55263",0,0,0,0,0,12,0,0,0,0
"P05141",0,0,0,2,6,0,0,0,0,0
"Q09666",2,0,21,54,54,54,13,10,6,18
"Q8NCW5",0,0,0,21,11,9,0,0,0,0
"P52895",0,0,0,0,0,0,7,1,0,0
"P42330",0,0,0,0,17,8,17,29,25,12
"O94788",0,0,0,0,2,0,0,0,0,0
"P30837",0,0,0,0,2,0,0,0,0,0
"P49419",0,0,0,0,0,35,2,0,0,0
"P09972",0,0,0,0,1,0,0,0,0,0
"P15121",0,0,0,0,15,17,0,0,0,0
"P39687",0,0,0,14,4,0,0,0,0,0
"P50995",0,0,0,0,0,5,18,21,15,2
"P04083",0,0,0,0,4,82,128,99,46,33
"P12429",0,0,0,6,83,115,0,0,1,2
"P08758",0,0,0,136,17,18,0,0,0,2
"P07741",0,0,23,7,0,0,0,0,0,0
"P61158",0,0,0,2,0,0,18,13,5,0
"Q9BPX5",0,0,0,0,0,0,2,0,0,0
"P59998",0,0,0,0,0,0,0,10,0,0
"O75947",3,0,0,0,7,0,0,0,0,0
"P25705",0,0,2,6,29,0,0,0,0,0
"P06576",0,2,0,0,25,0,0,0,0,0
"P30049",0,0,0,0,2,0,0,0,0,0
"P48047",0,0,0,0,9,0,0,0,0,0
"O95817",0,0,0,0,0,0,0,0,0,1
"P35613",0,2,2,0,0,0,0,0,0,0
"P80723",4,18,169,42,10,4,2,2,0,3
"P53004",0,0,0,8,0,0,0,0,0,0
"Q99622",0,0,0,4,0,0,0,0,0,0
"Q8N6N3",0,0,0,2,0,0,0,0,0,0
"Q9NWV4",0,0,0,4,0,0,0,0,0,0
"Q7Z422",0,0,0,0,2,2,1,0,0,2
"P00918",0,0,0,0,0,0,11,27,4,2
"P53634",0,0,0,0,3,1,0,0,0,0
"P07339",0,0,0,0,0,1,0,0,0,0
"Q9UBR2",0,0,0,24,9,0,0,0,0,0
"P52907",0,0,0,0,27,34,7,2,0,0
"P47755",0,0,0,0,0,10,8,0,0,0
"P16152",0,0,0,11,1,0,41,64,55,24
"O75828",0,0,0,0,2,0,0,0,0,0
"Q13185",0,0,0,2,10,0,0,0,0,6
"P32320",0,0,0,17,14,3,0,0,0,0
"Q9UKY7",0,0,0,4,8,8,1,1,0,10
"P61604",117,49,0,11,3,3,2,3,25,59
"P10809",0,0,0,7,51,0,0,0,0,4
"Q9UHD1",0,0,0,0,0,6,8,4,0,0
"Q9Y2V2",0,0,0,0,0,5,0,0,0,0
"Q5T6V5",0,0,0,0,15,0,0,0,0,0
"Q9BUH6",0,0,0,13,1,0,0,0,0,0
"Q14011",1,0,0,0,0,0,0,0,0,0
"Q9H0W9",0,0,0,0,1,12,4,0,0,0
"P33552",0,0,0,0,0,0,0,3,0,0
"P09496",0,0,0,3,0,0,0,0,0,0
"P09497",0,0,2,0,0,0,0,0,0,0
"Q00610",0,0,0,7,0,0,0,0,0,5
"O00299",0,0,0,10,2,0,0,0,0,0
"Q99439",1,0,0,0,0,2,1,3,3,3
"P23528",9,2,2,16,48,92,59,80,129,95
"Q9Y281",0,0,0,0,9,14,13,20,13,8
"Q14019",0,0,0,8,11,1,0,0,0,0
"P20674",0,0,0,2,0,0,0,0,0,0
"O75131",0,0,0,0,0,8,0,0,0,0
"P52943",2,2,0,0,0,0,0,0,0,11
"P46108",0,0,0,4,0,0,0,0,0,0
"P46109",0,0,0,0,0,5,0,0,0,0
"Q969H8",0,0,0,0,5,29,9,0,0,0
"P21291",7,4,0,0,0,0,0,0,0,16
"Q9HB71",0,0,0,0,0,0,0,6,9,3
"P99999",0,0,0,0,0,0,0,0,0,12
"P04080",0,0,0,0,8,24,9,0,0,0
"P98082",0,0,2,2,0,0,0,0,0,0
"Q96EP5",4,2,0,0,0,0,0,1,0,3
"P16989",0,0,0,5,0,0,2,3,6,14
"Q9Y6G9",0,0,0,0,0,0,0,0,0,2
"Q96C86",0,0,0,4,0,0,0,0,0,0
"P06132",0,0,0,14,0,0,0,0,0,0
"O94760",0,0,0,0,7,0,0,0,0,0
"O95865",0,0,0,6,0,0,0,0,0,0
"Q9NR30",0,6,0,4,0,0,0,0,0,0
"P60981",0,0,0,0,9,16,15,21,31,19
"O00273",0,0,0,3,0,0,0,0,0,0
"O60443",0,0,0,12,0,0,0,0,0,0
"Q3LXA3",0,0,0,0,0,15,0,1,0,0
"P09417",0,0,0,0,0,1,0,0,0,0
"Q00796",0,0,0,0,0,0,0,0,0,5
"O43143",0,0,0,0,0,0,0,0,0,2
"P09622",0,0,0,0,0,2,8,2,0,0
"O75937",0,0,0,0,0,0,0,0,0,14
"P18858",0,0,0,2,0,0,0,0,0,0
"O00115",0,0,0,0,0,5,0,0,0,0
"Q9UHL4",0,0,0,0,2,0,0,0,0,0
"Q16555",0,0,0,0,11,36,0,0,0,0
"Q13011",0,0,0,0,0,5,0,0,0,0
"P40939",0,0,0,0,0,0,0,0,0,1
"P30084",1,0,0,0,0,6,0,0,0,0
"P42126",0,0,0,0,4,4,0,0,0,0
"O60869",1,0,0,2,0,0,0,0,2,9
"P68104",1,0,0,6,0,5,0,0,0,22
"P24534",0,1,2,5,2,5,0,0,0,0
"P13639",0,5,0,6,1,29,55,33,3,8
"Q13347",0,0,0,1,0,0,0,0,0,0
"P06733",9,0,10,2,15,87,513,728,723,373
"P13929",0,2,0,1,1,4,38,66,142,76
"P09104",0,0,0,10,0,0,0,0,0,0
"P14625",0,0,0,6,0,0,0,0,0,0
"P58107",0,0,0,11,1,0,0,0,0,0
"Q96HE7",0,0,0,4,7,0,0,0,0,0
"P30040",0,0,0,0,36,45,0,0,0,0
"P10768",0,0,0,0,14,0,0,0,0,0
"P13804",0,0,0,0,13,19,0,0,0,0
"P38117",0,0,0,0,8,4,0,0,0,0
"P15311",0,0,0,0,26,77,0,0,0,6
"Q9NUQ9",0,0,0,1,7,8,2,0,0,2
"Q01469",0,0,0,3,18,17,0,0,0,0
"P39748",0,0,0,0,0,0,0,0,0,2
"P26885",0,1,0,0,0,0,0,0,2,15
"Q00688",0,0,0,0,0,0,2,0,0,12
"Q02790",0,0,0,0,4,0,0,0,0,2
"P21333",0,0,0,55,41,0,0,0,0,8
"O75369",0,0,0,17,9,0,0,0,0,0
"P02794",0,0,0,2,0,0,0,0,0,0
"Q96I24",1,0,0,0,0,0,0,0,0,0
"Q13283",0,0,0,1,0,0,0,0,0,0
"P06744",0,0,0,0,0,0,0,0,16,47
"Q9UBI6",2,0,0,0,0,0,0,0,0,0
"P31150",0,0,0,0,9,28,3,0,0,0
"P06396",0,0,0,1,0,0,0,0,0,0
"O75223",0,0,21,36,0,0,0,0,0,0
"O94925",0,0,2,4,0,0,0,0,0,0
"P62993",0,0,0,0,17,15,0,0,0,0
"P38646",10,0,0,0,25,2,1,2,5,4
"P48637",0,0,5,16,1,0,0,0,0,0
"P00390",0,0,0,0,0,0,0,0,1,0
"P78417",0,0,0,6,36,0,0,0,0,0
"P09211",0,3,18,194,124,69,1,5,4,2
"P49915",0,0,0,0,0,5,10,0,0,0
"P62805",16,46,0,9,8,12,2,5,5,2
"Q13442",0,0,0,4,2,3,10,10,15,23
"P51858",0,5,38,16,9,7,0,0,0,0
"Q9NRV9",0,0,0,3,7,4,0,0,0,0
"P49773",0,0,0,0,4,2,0,0,0,0
"P09429",0,0,0,2,0,11,5,0,0,9
"P26583",0,0,0,0,0,0,0,0,0,8
"O15347",0,0,0,0,0,0,0,0,0,3
"P82970",0,0,3,0,0,0,0,0,0,0
"Q9H910",0,0,0,0,0,0,0,0,12,33
"Q9BUJ2",0,0,2,0,0,0,0,0,0,0
"Q14103",0,2,0,0,1,4,8,8,0,0
"P52597",0,0,0,2,0,0,0,0,0,0
"P14866",0,4,0,0,0,0,0,0,0,0
"Q00839",0,0,0,1,1,0,0,0,0,0
"Q5SSJ5",0,4,0,0,0,0,0,0,0,0
"P37235",0,0,0,2,0,0,0,0,0,0
"P00492",0,0,0,0,14,15,0,0,0,0
"Q92598",0,0,0,8,0,0,0,0,0,0
"P08238",0,0,0,8,0,0,0,0,0,2
"P08107",0,0,0,4,31,9,0,0,0,1
"P54652",0,0,0,2,22,0,0,0,0,0
"P34932",0,0,0,54,2,0,0,0,0,0
"P11142",0,4,0,18,25,2,0,0,0,0
"P04792",0,0,0,10,13,7,0,0,0,4
"Q5T013",0,0,0,7,0,0,0,0,0,0
"P60842",0,0,0,5,0,0,0,0,0,0
