"","Orbitrap_HeLaNE_SGF_Fraction1","Orbitrap_HeLaNE_SGF_Fraction2","Orbitrap_HeLaNE_SGF_Fraction3","Orbitrap_HeLaNE_SGF_Fraction4","Orbitrap_HeLaNE_SGF_Fraction5","Orbitrap_HeLaNE_SGF_Fraction6","Orbitrap_HeLaNE_SGF_Fraction7","Orbitrap_HeLaNE_SGF_Fraction8","Orbitrap_HeLaNE_SGF_Fraction9","Orbitrap_HeLaNE_SGF_Fraction10","Orbitrap_HeLaNE_SGF_Fraction11","Orbitrap_HeLaNE_SGF_Fraction12","Orbitrap_HeLaNE_SGF_Fraction13","Orbitrap_HeLaNE_SGF_Fraction14"
"Q9Y3D7",0,0,8,14,11,14,15,19,0,0,0,0,0,0
"Q3ZCQ8",0,0,0,18,19,20,21,22,8,0,0,0,0,0
"Q7Z7H5",0,0,0,0,3,2,6,4,0,5,0,4,0,0
"Q9Y320",0,0,0,0,0,4,0,5,0,0,0,0,0,0
"Q5JTV8",0,0,0,0,0,0,0,0,4,4,5,1,0,0
"Q12888",0,14,3,0,0,0,0,0,0,0,0,0,0,0
"P09493",0,23,43,7,0,0,0,0,0,11,12,7,0,0
"P06753",0,7,0,0,0,0,0,0,0,0,0,0,0,0
"P62995",0,0,0,2,4,7,6,0,0,0,0,0,0,0
"Q14157",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Q93009",0,0,0,2,0,0,5,0,0,0,0,0,0,0
"Q5T4S7",0,0,2,1,0,0,0,0,0,0,0,0,0,0
"P0C7P4",4,10,22,21,41,54,56,30,27,17,18,0,0,0
"Q9P0L0",0,0,3,21,29,29,35,26,31,28,32,17,2,0
"P45880",0,0,27,75,68,77,69,92,74,72,68,44,9,15
"Q9Y277",0,0,15,53,83,70,72,73,71,45,34,10,0,0
"Q93050",0,0,0,10,16,19,10,0,0,0,0,0,0,0
