"","Orbitrap_HeLaNE_SGF_Fraction1","Orbitrap_HeLaNE_SGF_Fraction2","Orbitrap_HeLaNE_SGF_Fraction3","Orbitrap_HeLaNE_SGF_Fraction4","Orbitrap_HeLaNE_SGF_Fraction5","Orbitrap_HeLaNE_SGF_Fraction6","Orbitrap_HeLaNE_SGF_Fraction7","Orbitrap_HeLaNE_SGF_Fraction8","Orbitrap_HeLaNE_SGF_Fraction9","Orbitrap_HeLaNE_SGF_Fraction10","Orbitrap_HeLaNE_SGF_Fraction11","Orbitrap_HeLaNE_SGF_Fraction12","Orbitrap_HeLaNE_SGF_Fraction13","Orbitrap_HeLaNE_SGF_Fraction14"
"O00461",0,0,13,14,0,5,9,16,11,20,8,4,0,1
"Q9H8Y8",8,8,17,10,11,11,13,13,7,4,0,0,0,0
"O95249",0,0,0,0,0,3,4,3,0,0,0,0,0,0
"O43292",0,0,0,0,0,0,0,0,0,0,2,5,0,0
"P35052",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P43304",0,0,1,5,9,12,13,22,8,0,0,0,0,0
"Q92643",0,0,0,0,5,0,0,0,6,4,0,0,0,0
"P38646",13,41,185,151,77,93,74,108,103,68,54,46,19,11
"Q14687",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Q8NBJ5",13,15,7,0,0,0,0,0,0,0,0,0,0,0
"P78347",0,0,4,9,4,1,0,0,0,0,0,0,0,0
"A4D1E9",0,0,0,0,6,0,0,0,0,0,0,0,0,0
"P11166",0,0,7,15,18,11,0,4,6,2,0,0,0,0
"P62805",0,0,0,0,0,0,0,0,8,15,24,24,16,6
"Q9UJ83",0,0,0,0,0,5,0,2,0,0,0,0,0,0
"Q99714",0,0,6,6,0,0,3,0,0,0,0,0,0,0
"O94992",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"O14979",0,7,30,39,43,39,13,15,17,9,0,0,0,6
"P55795",0,7,2,0,0,0,0,0,0,0,0,0,0,0
"P31942",0,28,87,63,33,32,13,12,0,0,0,0,0,0
"Q9BUJ2",0,0,0,0,11,5,8,5,0,0,0,0,0,0
"Q1KMD3",0,5,6,11,26,18,14,14,16,6,4,0,0,0
"Q8WVV9",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Q14103",7,11,25,51,40,40,28,40,56,52,21,14,14,12
"P52597",0,4,9,10,7,9,14,14,6,0,0,0,0,0
"P38159",0,0,0,0,3,15,21,40,40,56,35,23,17,11
"P14866",0,10,39,108,93,86,71,46,28,10,0,0,0,0
"P52272",11,68,161,142,88,76,142,210,279,255,173,69,0,25
"O60506",0,2,23,80,92,103,109,98,57,40,38,14,0,1
"O43390",0,0,13,63,57,86,104,106,86,46,35,11,0,0
"Q00839",10,25,123,195,195,185,182,176,179,134,85,49,19,26
"P08238",0,0,5,4,1,0,0,0,0,0,0,0,0,0
"P08107",0,9,32,24,19,18,22,19,19,12,11,10,2,3
"P54652",0,0,28,0,15,5,7,0,18,0,0,0,0,0
"P34932",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P11142",0,11,97,97,67,79,80,71,90,74,64,44,12,10
"P04792",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"O43719",0,0,7,0,0,0,0,0,0,0,0,0,0,0
"P05198",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Q9Y6M1",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"O00425",0,0,0,0,0,4,0,7,0,0,0,0,0,0
"P60842",0,4,5,8,5,2,5,4,0,0,0,0,0,0
"P38919",0,0,0,0,0,0,0,5,7,0,0,0,0,0
"P23588",0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Q15056",0,0,0,1,0,2,0,0,0,0,0,0,0,0
"Q70UQ0",0,0,0,0,1,1,1,0,0,0,0,0,1,0
"Q12905",0,16,26,59,72,104,110,97,62,67,36,11,0,0
"A1L0T0",0,0,3,12,15,12,9,4,0,0,0,0,0,0
"P52292",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Q14974",0,0,12,10,7,9,6,13,3,0,0,0,0,0
"Q9NX62",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Q27J81",0,0,0,2,4,6,4,0,0,0,0,0,0,0
"P46940",0,0,0,0,3,6,5,11,0,0,0,0,0,0
"P17301",0,0,0,0,8,8,3,0,0,0,0,0,0,0
"P08648",0,0,0,5,6,5,7,0,0,0,0,0,0,0
"P06756",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P05556",0,0,16,25,24,16,15,10,0,0,0,0,0,0
"P16144",0,0,5,2,0,3,6,10,0,0,0,0,0,0
"Q96J02",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Q14573",0,0,0,0,0,6,9,11,3,1,0,0,0,0
"Q96ST2",0,0,0,0,2,3,4,2,0,0,0,0,0,0
"Q8N766",0,0,0,1,1,1,1,0,0,0,0,0,0,0
"Q8N163",0,16,61,37,36,33,22,12,1,0,0,0,0,0
"P05783",0,16,38,49,55,57,63,49,36,22,27,14,8,0
"P08727",17,0,0,0,0,0,0,0,0,2,0,3,0,0
"P04264",3,4,0,0,0,0,0,42,4,13,28,0,1,0
"P54819",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"P13861",0,4,0,0,0,1,0,2,0,0,0,0,0,0
"Q07666",0,0,0,8,17,18,20,10,7,0,0,0,0,0
"P17252",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"P14618",0,1,0,4,4,5,0,2,0,0,0,0,0,0
"Q86UP2",0,0,0,1,0,0,0,0,0,0,2,3,0,0
"P07942",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"P11279",0,0,0,0,0,0,2,9,0,0,0,0,0,0
"P42166",0,0,1,0,2,2,0,0,7,20,12,16,5,4
"P42167",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Q6PKG0",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Q14739",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Q9UIQ6",0,0,0,0,0,3,4,2,1,0,0,0,0,0
"P00338",0,0,0,1,0,0,0,2,0,0,0,0,0,0
"P01130",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"P09382",0,0,7,10,4,4,1,3,3,0,0,0,0,0
"O95202",0,10,16,19,19,17,11,6,0,0,0,0,0,0
"Q08380",0,0,5,2,5,0,5,0,0,0,0,0,0,0
"Q99538",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"P49257",0,0,3,29,30,24,34,27,0,0,0,0,0,0
"Q12907",0,2,0,10,11,16,13,5,0,0,0,0,0,0
"P02545",12,9,0,0,0,0,0,2,20,41,43,22,2,2
"P20700",0,0,11,2,0,0,0,0,0,7,11,5,0,0
"P36776",0,9,13,0,0,0,0,0,0,0,0,0,0,0
"Q93052",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P42704",0,24,68,96,71,91,112,100,34,19,6,4,0,0
"Q96AG4",0,0,0,0,0,0,0,0,9,3,10,5,0,0
"Q8IWT6",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Q32MZ4",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Q8ND56",0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Q9H089",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Q6IAA8",0,0,5,10,20,15,12,10,7,1,1,0,0,0
"Q9UHA4",0,0,0,1,4,4,0,0,0,0,0,0,0,0
"Q86UE4",0,0,0,0,0,0,0,0,0,13,22,30,28,9
"Q02978",1,10,15,38,34,39,46,37,19,18,6,6,1,2
"Q16706",0,0,0,0,3,2,2,2,2,0,1,0,0,0
"Q9H0U3",0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Q7Z434",0,0,0,0,6,4,10,6,12,9,0,0,0,0
"O95983",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"O43324",0,0,5,18,4,0,0,0,0,0,0,0,0,0
"O43772",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Q96RQ3",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Q9HCC0",0,0,7,0,0,0,0,0,0,0,0,0,0,0
"P49736",0,7,0,0,0,0,0,0,0,0,0,0,0,0
"P25205",0,6,14,0,0,0,0,0,0,0,0,0,0,0
"P33991",0,8,13,0,0,0,0,0,0,0,0,0,0,0
"P33992",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"P33993",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Q8NE86",0,0,0,7,7,11,12,15,0,0,0,0,0,0
"P40926",0,0,4,9,6,7,0,8,0,0,0,0,0,0
"P08581",0,0,0,0,0,2,5,4,0,0,0,0,0,0
"Q9H2D1",0,0,0,2,0,3,1,0,0,0,0,0,0,0
"Q8N183",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Q8IXI1",0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Q14165",0,0,0,0,0,0,0,0,0,6,6,9,3,3
"Q13724",0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Q9HCE1",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Q00325",0,0,0,43,46,53,52,66,55,42,0,0,0,0
"P20645",0,0,0,0,0,0,3,5,11,8,4,0,0,0
"P11717",0,0,0,0,0,0,0,0,8,2,0,0,0,0
"Q15800",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Q9NZJ7",1,4,9,11,11,12,1,0,0,0,0,0,0,0
"Q9Y6C9",0,0,0,4,3,6,7,12,0,0,0,0,0,0
"Q96E29",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Q13505",0,0,0,0,0,6,6,11,0,0,0,0,0,0
"O75431",0,0,0,0,5,6,6,0,0,0,0,0,0,0
"Q14764",0,0,0,0,1,2,3,38,0,0,0,0,0,0
"P35579",0,4,33,61,42,50,74,65,26,16,14,12,0,0
"P60660",6,8,36,16,20,19,20,9,1,0,3,2,0,0
"O00159",0,0,0,1,0,0,4,8,4,0,0,0,0,0
"Q9NZM1",0,0,0,30,44,46,40,49,25,5,0,0,0,0
"Q9UHQ9",0,0,0,9,8,7,12,13,0,0,0,0,0,0
"P00387",0,0,0,8,16,14,13,9,6,0,0,0,0,0
"Q969V3",0,0,0,0,0,0,0,0,0,10,1,1,0,0
"Q9HCD5",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"O43678",0,0,0,4,9,7,7,6,0,0,0,0,0,0
"Q16718",0,24,17,20,23,33,29,9,9,9,4,0,0,0
"Q16795",0,0,4,8,16,24,25,25,10,0,0,0,0,0
"O95168",0,0,0,3,12,13,12,12,12,10,0,0,0,0
"O95139",0,0,0,10,9,12,13,25,1,0,0,0,0,0
"P17568",0,0,0,4,12,9,10,6,8,0,0,0,0,0
"O95169",0,0,0,3,0,0,0,6,0,0,0,0,0,0
"Q9Y6M9",0,0,0,0,13,7,9,8,0,0,0,0,0,0
"O96000",0,0,0,27,43,34,42,36,42,35,26,11,0,0
"Q9BU61",0,0,0,5,0,3,0,0,3,0,0,0,0,0
"Q9P032",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"O75306",0,4,13,19,27,33,33,24,0,0,0,0,0,0
"O75489",0,0,4,27,53,49,46,60,21,14,13,2,0,0
"O43181",0,0,0,2,5,6,5,6,4,6,0,0,0,0
"O75380",0,0,1,0,2,5,4,0,2,0,0,0,0,0
"O00217",0,0,7,15,10,16,13,23,9,2,0,0,0,0
"P49821",0,0,4,5,9,14,9,0,0,0,0,0,0,0
"Q6ZNB6",0,0,0,0,0,0,0,0,0,3,2,3,0,0
"Q92542",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Q86WB0",9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q13423",1,2,26,79,81,75,85,73,46,46,44,19,3,4
"Q15233",0,5,18,5,9,5,9,12,4,10,5,0,0,0
"O15118",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"P06748",16,10,3,2,0,1,4,0,12,8,1,0,0,0
"P46459",0,0,3,2,7,0,0,0,0,0,0,0,0,0
"Q08J23",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"P57740",0,20,11,7,0,0,0,0,0,0,2,0,0,0
"Q8WUM0",0,0,4,1,0,0,0,0,0,0,0,0,0,0
"P49790",0,8,5,0,0,0,0,0,0,0,0,0,0,0
"O75694",0,0,0,0,0,0,0,0,2,6,4,1,0,0
"Q5SRE5",0,0,0,0,0,2,5,0,0,0,0,0,0,0
"P03886",0,0,0,0,0,4,6,6,0,0,0,0,0,0
"P35658",0,8,6,0,2,1,0,0,1,10,6,0,0,0
"P19338",0,6,7,0,0,0,0,0,0,0,0,0,0,0
"Q9UKX7",0,3,8,0,0,0,0,0,0,0,0,0,0,0
"Q8NFH5",0,0,0,0,0,0,0,0,3,14,19,0,0,0
"P37198",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Q99567",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Q9BVL2",0,0,0,0,0,2,2,1,0,0,0,0,0,0
"Q9UBU9",0,0,0,0,0,0,0,5,7,16,14,4,0,0
"Q9NX40",0,0,0,8,6,10,6,10,11,0,0,0,0,0
"Q56VL3",0,0,0,0,0,0,3,8,0,0,0,0,0,0
"P11182",0,0,0,15,2,0,0,0,0,0,0,0,0,0
"Q02218",0,16,33,106,253,106,64,30,0,0,0,0,0,0
"P10515",3,18,28,28,63,91,12,0,0,0,0,0,0,0
"P11177",4,14,56,100,118,125,18,9,0,0,0,0,0,0
"O00330",0,0,0,0,5,24,0,0,0,0,0,0,0,0
"P39656",0,0,1,4,4,8,9,0,6,8,10,15,4,0
"Q96C36",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"P54886",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Q9UQ80",0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Q86U42",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Q8NC51",0,0,0,0,0,1,1,0,3,20,20,14,3,0
"Q9UKK3",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Q8NF37",0,0,3,6,6,6,5,4,0,0,0,0,0,0
"Q15365",0,0,6,9,8,5,7,6,0,3,2,1,3,0
"Q15154",0,0,0,0,0,0,0,0,0,0,0,13,7,0
"O75340",0,3,6,13,11,21,31,25,9,0,0,0,0,0
"P07237",0,0,4,6,2,4,2,0,0,0,0,0,0,0
"P30101",0,11,29,27,29,24,18,15,22,12,2,0,0,0
"O00151",0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Q9UBV8",0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Q96HS1",0,0,0,0,0,0,0,0,9,0,0,0,0,0
"O00264",0,0,5,19,19,27,23,18,0,0,0,0,0,0
"P35232",6,26,93,158,216,188,197,183,90,57,54,41,33,31
"Q99623",1,8,63,106,148,118,153,99,86,47,46,23,4,4
"P42356",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Q96S52",0,0,0,6,9,12,11,5,0,0,0,0,0,0
"P14923",0,0,0,3,10,3,6,2,0,3,0,0,0,0
"Q15149",0,13,73,48,47,49,72,68,65,93,121,48,0,0
"O60568",0,0,11,5,0,0,0,0,0,0,0,0,0,0
"Q04941",0,0,0,0,16,2,17,0,0,0,0,0,0,0
"Q8IY17",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"O43660",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"O43808",0,0,0,0,0,1,2,5,0,0,0,0,0,0
"P29590",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Q8TCS8",0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Q8TEM1",0,0,0,1,0,2,5,0,11,27,22,3,0,0
"Q99575",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"P23284",0,0,0,0,0,0,0,2,0,5,6,2,0,7
"O15355",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"O75400",0,0,0,3,10,1,0,0,0,0,0,0,0,0
"Q9HCU5",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"P78527",0,0,0,9,2,6,6,18,0,0,0,1,0,0
"P07737",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Q9UMS4",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"P62191",0,2,5,25,0,0,0,0,0,0,0,0,0,0
"P17980",0,0,26,49,0,0,0,0,0,0,0,0,0,0
"P43686",0,27,41,18,4,0,0,0,0,0,0,0,0,0
"P35998",0,0,17,13,0,0,0,0,0,0,0,0,0,0
"P62195",0,0,11,24,0,0,0,0,0,0,0,0,0,0
"P25787",0,2,0,19,0,0,0,0,0,0,0,0,0,0
"P25788",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"P28066",0,0,5,9,0,0,0,0,0,0,0,0,0,0
"P60900",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"O14818",0,0,8,8,0,0,0,0,0,0,0,0,0,0
"P20618",0,2,30,30,0,0,0,0,0,0,0,0,0,0
"P49721",0,0,4,7,0,0,0,0,0,0,0,0,0,0
"P49720",0,0,3,4,0,0,0,0,0,0,0,0,0,0
"P28070",0,18,14,13,0,0,0,0,0,0,0,0,0,0
"Q99436",0,17,0,0,0,0,0,0,0,0,0,0,0,0
"O00232",0,0,8,0,0,0,0,0,0,0,0,0,0,0
"P51665",0,0,7,11,0,0,0,0,0,0,0,0,0,0
"O00487",0,15,21,3,0,0,0,0,0,0,0,0,0,0
"Q99460",0,9,22,15,0,0,0,0,0,0,0,0,0,0
"Q13200",0,5,12,0,0,0,0,0,0,0,0,0,0,0
"O43242",0,0,10,35,2,0,0,0,0,0,0,0,0,0
"Q15008",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"P26599",2,25,38,69,62,79,88,56,20,3,4,0,0,0
"O75127",0,0,0,0,0,6,0,2,0,0,0,0,0,0
"Q96EY7",0,0,0,32,15,22,20,24,13,15,6,1,0,0
"P18031",0,0,0,0,4,2,4,0,0,0,0,0,0,0
"Q6NZI2",0,0,0,3,8,12,27,50,33,9,2,0,0,0
"Q9BVG9",0,0,0,0,0,0,0,1,2,0,0,0,0,0
"P27708",0,0,2,7,0,0,0,0,0,0,0,0,0,0
"Q02127",0,0,0,7,4,2,3,4,1,2,0,0,0,0
"P31930",0,0,12,30,39,37,39,49,45,15,10,5,0,0
"P22695",20,26,58,113,116,137,128,143,92,63,54,25,0,0
"P07919",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Q6ZRP7",0,0,0,0,6,0,0,7,0,0,0,0,0,0
"P61026",0,0,5,8,8,10,11,14,3,0,0,0,0,0
"P61106",0,0,3,9,11,14,9,6,8,2,0,0,0,0
"P62820",0,2,21,32,33,37,34,36,14,0,0,0,0,0
"Q9H0U4",0,1,9,13,18,20,22,15,0,0,0,0,0,0
"Q9UL25",0,0,0,2,1,4,0,3,0,0,1,0,0,0
"P61019",0,0,2,17,21,18,18,16,9,0,0,0,7,4
"P61020",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"P51148",0,7,6,15,19,16,18,20,9,0,6,0,0,0
"P51149",0,0,5,17,25,22,21,32,23,6,3,10,0,0
"P61006",0,0,0,6,3,4,6,12,8,0,0,0,0,0
"O60216",0,1,2,0,0,0,0,0,0,0,0,0,0,0
"P46060",0,6,2,4,1,0,2,0,0,0,0,0,0,0
"Q8NFJ5",0,2,18,9,10,13,22,30,22,6,2,0,0,0
"Q96S59",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Q15907",0,0,0,0,2,1,1,0,0,0,0,0,0,0
"Q7Z6E9",0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Q96PK6",0,0,0,0,5,4,13,10,18,23,0,0,0,0
"P98179",0,19,65,40,24,5,0,0,0,0,0,0,0,0
"Q9Y5S9",0,0,0,0,0,0,0,0,6,25,24,9,0,0
"Q15434",0,0,0,0,4,1,0,0,0,0,0,0,0,0
"P49792",0,1,5,0,2,0,4,5,3,7,5,0,0,0
"Q9UKL0",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Q92900",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Q6NTF9",0,0,0,0,0,0,0,7,0,0,0,0,0,0
"P61586",0,0,0,2,0,0,3,0,0,0,0,0,0,0
"P62745",0,0,0,2,0,2,0,0,0,0,0,0,0,0
"P62913",0,0,0,0,0,0,4,8,8,10,17,10,22,6
"P30050",0,0,0,0,0,0,2,8,8,10,11,6,3,0
"P26373",0,0,0,0,0,0,0,0,16,34,39,36,18,6
"P61313",0,0,0,0,0,0,0,0,0,7,8,16,0,0
"P18621",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Q07020",0,0,0,0,0,0,0,6,7,20,23,20,16,10
"P84098",0,0,0,0,0,0,4,6,15,20,25,22,12,2
"P46778",0,0,0,0,0,4,3,2,18,12,20,11,2,1
"P35268",0,0,0,0,0,0,0,5,0,15,8,16,4,2
"P62829",0,0,0,0,0,0,0,7,10,10,11,5,0,0
"P46776",0,0,0,0,0,0,0,0,0,0,0,13,6,0
"P61513",0,0,0,0,0,0,0,0,8,9,14,10,4,0
"P36578",0,0,0,0,0,0,4,14,27,16,22,8,0,0
"P46777",0,0,0,0,0,0,0,0,8,13,14,14,0,0
"P62424",0,0,0,0,0,0,0,3,6,10,13,12,11,0
"P32969",0,0,0,0,0,0,3,4,4,3,0,0,0,0
"P05388",0,0,0,0,2,5,8,19,7,9,13,0,1,0
"P05386",15,11,27,10,18,16,25,38,38,14,13,0,0,0
"P05387",0,1,36,20,29,22,38,76,106,107,96,58,25,11
"Q9BYD6",0,4,4,24,45,20,14,5,9,11,8,0,0,0
"Q5T653",0,0,0,0,15,8,6,4,4,0,0,0,0,0
"P09001",0,0,0,0,30,6,0,0,0,0,0,0,0,0
"Q9BYD3",0,0,0,5,64,30,17,11,8,5,2,0,0,0
"Q9BYD2",0,0,0,0,39,19,16,13,7,0,0,0,0,0
"Q9Y3B7",0,0,0,0,61,35,23,15,16,12,0,0,0,0
"Q9BYD1",0,0,0,0,39,20,9,4,0,0,0,0,0,0
"Q6P1L8",0,0,0,0,24,9,8,5,2,5,0,11,0,0
"Q9P015",0,0,0,8,81,40,20,11,20,6,2,0,0,0
"Q9NX20",0,0,0,0,9,0,0,0,0,0,0,0,0,0
"Q9NRX2",0,0,0,0,24,10,4,2,0,0,0,0,0,0
"P49406",0,0,0,0,25,9,0,0,0,0,0,0,0,0
"Q9BYC9",0,0,0,0,8,6,5,4,0,0,0,0,0,0
"Q9NWU5",0,0,0,0,20,7,5,0,7,8,4,0,0,0
"Q16540",0,0,0,0,19,15,5,7,6,0,0,0,0,0
"Q96A35",0,0,0,0,21,6,3,6,0,0,0,0,0,0
"Q13084",0,0,0,20,21,6,5,0,0,0,0,0,0,0
"Q9BZE1",0,0,0,0,43,26,22,27,14,4,1,0,0,0
"Q96DV4",0,0,0,0,37,12,10,7,0,0,0,0,0,0
"Q9NQ50",0,0,0,0,67,32,27,28,0,0,0,0,0,0
"Q9H9J2",0,0,0,0,42,18,15,10,0,0,0,0,0,0
"Q9H2W6",0,0,0,0,5,6,3,0,0,0,0,0,0,0
"Q96GC5",0,0,0,0,10,0,0,0,0,8,0,0,0,3
"Q13405",0,0,0,0,24,18,9,17,22,27,18,14,2,2
"Q96TC7",0,4,30,51,45,49,51,44,27,24,12,0,0,0
"Q9HC36",0,0,0,11,7,1,0,0,0,0,0,0,0,0
"Q15287",0,0,0,0,0,0,3,0,4,9,3,0,0,0
"Q13151",0,1,0,16,22,37,49,52,34,25,10,4,6,2
"P09651",14,25,4,0,4,5,7,12,7,8,14,7,9,7
"P22626",62,194,328,417,494,434,248,216,119,98,64,28,12,36
"P51991",0,0,20,41,37,53,47,56,39,39,11,8,4,6
"Q99729",13,27,72,69,58,61,59,63,58,35,3,0,0,0
"O15160",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"P24928",0,0,41,8,6,0,0,0,0,0,0,0,0,0
"P30876",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"P36954",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"P04844",0,0,10,14,35,34,36,22,16,13,11,18,4,2
"P46783",0,0,0,0,0,0,0,8,0,0,0,0,0,0
"P62277",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"P62841",0,0,0,5,8,10,10,6,3,6,0,0,0,0
"P62244",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"P62249",0,0,0,0,0,0,5,9,10,5,13,11,8,4
"P62269",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"P39019",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P15880",0,0,0,0,0,3,8,13,7,0,14,4,0,0
"P63220",0,0,0,0,0,0,0,2,6,4,4,0,0,0
"P62266",0,0,0,0,0,0,0,6,9,6,8,4,0,0
"P62847",0,0,0,0,0,0,0,8,8,0,0,0,0,0
"P62851",0,0,0,0,0,0,0,0,0,8,11,8,0,0
"Q71UM5",0,0,0,0,0,0,0,0,0,13,11,9,1,0
"P23396",0,0,0,0,6,9,14,22,17,43,48,55,32,22
"P61247",0,0,0,0,0,0,1,4,0,0,0,13,0,0
"P62701",0,0,0,0,1,3,0,8,0,1,7,5,5,0
"P62753",0,0,0,0,0,0,0,2,8,21,27,18,13,5
"P62081",0,0,0,1,0,2,0,0,0,0,0,0,0,0
"P82675",5,0,37,34,39,35,32,12,0,0,0,0,0,0
"Q9Y2R9",0,0,0,10,0,0,0,0,0,0,0,0,0,0
"P82933",0,0,0,46,17,13,15,10,10,0,0,0,0,0
"P82664",0,0,0,4,0,2,2,6,0,0,0,0,0,0
"P82912",0,0,0,0,0,0,0,0,12,0,0,0,0,0
"Q9Y3D3",0,0,0,17,0,4,2,5,0,0,0,0,0,0
"Q9Y676",0,0,11,55,11,10,7,6,0,0,0,0,0,0
"P82921",0,0,0,3,0,4,4,6,8,3,2,0,0,0
"P82650",0,0,2,52,14,20,16,8,6,0,0,0,0,0
"Q9Y3D9",0,0,0,53,11,14,13,12,0,17,19,0,0,0
"P82663",0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Q9BYN8",0,0,25,20,15,16,13,3,0,0,0,0,0,0
"P51398",0,0,14,55,29,28,33,22,22,10,6,0,0,0
"Q9NP92",0,8,0,28,16,11,8,2,0,0,0,0,0,0
"Q92665",0,0,17,38,30,44,39,22,22,1,0,0,0,0
"P82673",0,4,16,31,19,25,26,20,2,0,0,0,0,0
"P82909",0,0,15,18,58,32,19,13,13,7,0,0,0,0
"P08621",0,0,10,12,2,4,6,6,5,0,0,0,0,0
"P09661",0,19,46,13,3,7,2,4,5,8,6,8,6,4
"Q96CM3",0,0,0,6,5,5,0,0,0,0,0,0,0,0
"Q9Y265",0,0,4,3,0,0,0,0,0,0,0,0,0,0
"Q9Y230",0,0,15,0,0,0,0,0,0,0,0,0,0,0
"P60903",0,0,0,16,17,21,30,26,20,6,0,0,0,0
"P31949",6,12,17,19,23,28,31,12,1,0,0,0,0,0
"Q96FQ6",0,5,0,2,0,0,0,0,0,0,0,0,0,0
"Q9UP95",0,0,0,2,5,3,4,4,0,0,0,0,0,0
"Q9Y666",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Q8TBP6",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"P50443",0,0,0,1,0,2,0,0,0,0,0,0,0,0
"O14975",0,1,1,4,5,5,6,8,0,0,0,0,0,0
"Q9UHR5",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Q96QD8",0,0,2,7,10,10,11,8,0,0,0,0,0,0
"Q14151",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Q9Y512",0,0,2,0,0,11,17,22,21,4,0,0,0,0
"P82979",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Q15020",0,0,31,2,1,0,1,0,0,0,0,0,0,0
"O75396",0,0,1,16,19,26,27,31,33,22,15,16,2,1
"Q15436",0,0,0,0,0,0,0,1,0,0,0,0,0,0
