"","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction10"
"P07737",2,8,1,5,0,2,2,5,23,40
"Q9UMS4",12,0,0,0,0,0,0,0,0,0
"O94906",12,0,0,0,0,0,0,0,0,0
"Q6P2Q9",23,0,0,0,0,0,0,0,0,0
"O43395",2,0,0,0,0,0,0,0,0,3
"P49721",0,0,0,0,0,0,0,4,0,0
"P51665",0,0,0,0,0,0,0,7,0,0
"O75475",18,0,0,0,0,0,0,2,0,0
"Q06323",0,0,0,0,0,5,4,0,0,0
"P26599",1,12,0,18,6,2,2,10,12,21
"Q6GMV3",0,0,0,0,0,0,0,2,0,0
"Q6NZI2",4,0,0,3,0,0,0,0,0,0
"P11498",0,0,0,11,0,0,0,0,0,0
"P31930",0,4,0,13,4,0,0,0,0,0
"P22695",0,7,0,11,2,0,0,4,0,11
"P07919",2,2,0,4,2,0,0,0,0,2
"P61106",0,2,0,0,0,16,8,0,0,2
"P62820",0,4,0,4,2,0,2,0,2,6
"P61019",0,0,0,0,4,3,0,0,0,0
"P51149",0,3,0,0,2,3,2,0,0,12
"P61006",0,0,0,0,0,0,0,0,0,2
"P46060",0,0,0,0,0,0,0,0,0,6
"Q09028",4,0,0,2,0,0,0,0,0,0
"Q9NTZ6",0,0,0,0,0,1,0,0,0,0
"Q96PK6",17,0,0,0,0,0,0,0,0,5
"P49756",2,0,0,0,0,0,0,0,0,0
"Q9P2N5",0,0,0,0,0,0,0,0,0,1
"P98179",3,0,0,0,0,0,0,0,5,0
"P49792",3,0,0,0,0,0,0,0,0,0
"Q9P258",6,0,0,0,0,0,0,0,0,0
"Q15293",0,0,0,4,0,0,0,0,0,0
"Q13123",4,0,0,0,0,0,0,0,0,0
"Q92900",0,4,0,0,0,0,0,0,0,0
"P35251",2,0,0,0,0,1,0,0,0,0
"P35249",3,0,0,0,0,0,0,0,0,0
"P48382",0,0,0,0,0,0,0,0,0,2
"P61586",0,0,0,3,0,0,0,0,0,4
"Q5UIP0",0,0,0,0,0,2,4,2,0,0
"P13489",0,0,0,0,3,0,0,0,0,0
"P23921",0,0,0,0,0,0,8,2,0,0
"P62913",9,4,0,6,0,0,0,2,0,2
"P30050",12,6,0,20,6,0,0,0,0,15
"P61313",3,0,0,2,0,0,0,0,0,0
"P18621",2,0,0,4,0,0,0,0,0,0
"Q07020",8,12,0,12,4,0,0,0,0,0
"Q02543",5,0,0,3,0,0,0,0,0,0
"P84098",4,3,0,4,3,0,0,0,0,1
"O76021",19,0,0,0,0,0,0,0,0,0
"P46778",0,0,0,4,0,0,0,0,0,0
"P62829",4,2,0,3,1,0,0,0,0,1
"P47914",0,0,0,2,0,0,0,2,0,0
"P39023",0,0,0,6,0,0,0,0,0,0
"P62888",3,0,0,0,4,0,0,0,0,0
"P62910",0,0,0,2,0,0,0,0,0,0
"P61513",6,0,0,0,0,0,0,0,0,0
"P63173",0,0,0,0,0,0,0,0,0,4
"P36578",14,8,0,20,4,0,0,0,0,2
"P46777",6,2,0,6,0,0,0,0,0,0
"P62424",3,5,0,22,7,0,0,0,0,2
"P62917",0,0,0,2,0,0,0,0,0,0
"P32969",2,0,0,5,0,0,0,0,0,1
"P05388",4,0,0,4,0,0,0,0,0,0
"P05386",18,6,2,6,2,4,0,0,0,2
"P05387",36,24,51,20,16,7,0,0,0,12
"Q6P1L8",0,0,0,0,0,0,0,0,0,2
"Q16540",0,0,0,3,0,0,0,0,0,0
"Q13405",0,0,0,2,0,0,0,0,0,0
"Q96EL3",0,0,0,0,0,0,0,0,4,11
"Q15287",6,0,0,0,0,0,0,0,0,0
"Q13151",4,0,0,2,0,0,0,0,0,2
"P09651",5,4,0,7,6,0,0,0,0,7
"P22626",41,24,2,34,23,11,31,52,75,115
"P51991",7,4,0,16,3,0,0,6,9,17
"P04844",2,0,0,4,0,0,0,0,0,1
"Q96E11",0,0,0,0,0,0,0,0,0,4
"Q8IY81",3,0,0,0,0,0,0,0,0,0
"Q15050",6,0,0,0,0,0,0,0,0,0
"P62280",1,0,0,0,0,0,0,0,0,0
"P25398",0,0,0,2,0,0,8,7,7,9
"P62277",4,0,0,0,0,0,0,0,0,0
"P62263",3,0,0,0,0,0,0,0,0,0
"P62244",5,0,0,2,0,0,0,0,0,0
"P62249",0,0,0,6,0,0,0,0,0,0
"P39019",2,0,0,0,1,0,0,3,0,13
"P15880",8,0,0,10,1,0,0,0,0,2
"P63220",0,0,0,0,0,0,0,0,8,1
"P62266",2,0,0,2,0,0,0,0,0,0
"P62847",4,0,0,0,0,0,0,0,0,0
"P23396",15,0,0,17,0,0,0,0,0,0
"P61247",2,0,0,8,0,0,0,0,0,0
"P62701",6,0,0,4,0,0,0,0,0,0
"P46782",7,2,0,2,0,0,0,0,0,2
"P62753",4,0,0,3,0,0,0,0,0,0
"P62081",8,0,0,0,0,0,0,0,0,0
"Q92665",0,0,0,0,0,0,0,0,0,1
"P08621",0,0,0,3,0,0,0,0,0,0
"P09661",8,0,0,2,2,1,0,0,0,0
"P60903",0,0,0,0,0,0,0,10,16,12
"P31949",0,0,0,0,4,0,0,0,0,0
"Q96FQ6",0,0,0,0,0,0,6,4,0,0
"P82979",0,0,0,0,0,0,1,0,0,3
"Q9Y3A5",0,0,0,0,0,0,0,0,0,3
"O75396",0,4,0,0,0,2,13,11,2,6
"O14828",0,0,0,0,0,0,0,0,0,1
"O43819",0,0,0,0,0,0,0,0,0,2
"P55809",0,2,0,2,0,54,41,19,0,7
"Q9NX18",0,0,0,0,0,5,0,0,0,0
"Q96BR5",0,0,0,0,0,16,0,0,0,0
"Q9NVA2",0,0,0,0,0,0,2,2,0,2
"O43175",4,0,0,0,0,0,0,0,0,0
"P50454",4,4,0,8,0,0,5,10,23,73
"Q15459",6,0,0,0,0,2,0,0,0,4
"O75533",11,0,0,0,0,0,0,0,0,2
"Q15393",10,0,0,0,0,0,0,0,0,0
"Q15427",0,0,0,0,0,0,0,0,0,2
"P23246",21,0,0,0,0,1,2,0,2,2
"O95104",0,0,0,0,0,3,0,0,0,0
"Q9H9B4",0,0,0,4,0,0,0,0,0,0
"O75368",0,0,0,0,0,2,0,0,0,0
"Q96ST3",0,0,0,0,0,0,0,6,4,4
"P63208",0,0,6,0,0,0,0,0,0,0
"Q9GZT3",0,0,0,0,0,0,2,4,6,23
"Q14683",6,0,0,0,0,0,0,0,0,0
"Q9UQE7",8,0,0,0,0,0,0,0,0,0
"P51531",0,0,0,0,0,0,0,1,0,0
"O60264",7,0,0,0,0,0,0,0,0,0
"P62314",4,0,0,0,0,0,0,0,0,0
"P62316",6,0,0,0,0,0,0,0,0,0
"Q8TAQ2",3,0,0,0,0,0,0,0,0,0
"Q2TAY7",2,0,0,0,0,0,0,0,0,0
"Q7KZF4",5,4,0,8,0,0,0,0,0,0
"O00161",0,0,0,0,6,0,0,0,0,0
"P09012",0,0,0,0,0,0,3,8,0,0
"O43290",2,0,0,0,0,0,0,0,0,0
"Q53GS9",8,0,0,0,0,0,0,0,0,0
"O60493",0,0,0,0,0,0,0,0,0,1
"P00441",0,0,0,7,7,2,0,0,0,0
"P04179",0,0,0,0,0,0,0,16,36,22
"Q9Y5B9",10,0,0,0,0,0,0,0,0,0
"O75934",2,0,0,0,0,0,0,0,0,0
"P51688",0,0,0,0,0,0,6,4,0,0
"P35270",0,0,0,0,0,0,0,0,0,2
"O00267",0,0,0,2,0,0,0,0,0,0
"Q13813",2,0,0,8,0,0,0,0,0,0
"Q14247",0,0,0,0,0,4,0,0,2,2
"P49458",3,0,0,0,0,0,0,0,6,0
"P37108",4,0,0,0,0,0,0,0,0,0
"Q9Y5M8",0,0,0,0,0,0,0,0,3,7
"Q9UQ35",9,0,0,0,0,0,0,0,0,10
"Q9BXP5",2,0,0,0,0,0,0,0,0,0
"O75494",8,0,0,0,0,0,0,0,0,0
"Q05519",2,0,0,0,0,0,0,0,0,0
"Q07955",46,0,0,0,0,0,0,0,0,0
"P84103",22,0,0,0,0,0,0,0,0,0
"Q13243",2,0,0,0,0,0,0,0,0,0
"Q16629",2,0,0,0,0,0,0,0,0,0
"Q04837",11,0,0,3,0,0,0,1,15,10
"P43307",2,3,0,8,3,0,0,0,0,3
"Q08945",4,0,0,0,0,0,0,0,0,0
"Q8N3U4",3,0,0,0,0,0,0,0,0,0
"Q13586",0,0,0,0,0,0,3,7,2,0
"P31948",0,0,0,0,0,1,31,5,0,0
"Q9UJZ1",4,14,0,14,8,2,0,0,0,10
"P16949",0,0,0,0,0,0,10,0,0,0
"P27105",0,0,0,1,0,0,0,0,0,2
"O15400",0,0,0,0,0,0,0,0,0,4
"P53597",0,0,0,0,0,12,18,6,5,5
"Q9P2R7",0,0,0,0,0,0,13,0,0,0
"Q96I99",0,0,0,0,0,23,24,4,0,4
"Q8IWZ8",0,0,0,0,0,0,0,0,0,2
"O15260",2,2,0,1,0,0,0,0,0,0
"P07814",1,0,0,0,0,0,0,0,0,0
"Q9NSE4",0,0,0,2,0,0,0,0,0,0
"Q16563",0,6,0,0,0,3,0,0,0,0
"Q9NP81",0,0,0,4,0,0,0,0,0,0
"O76070",0,0,0,5,5,0,0,0,0,0
"Q9BSH4",0,0,0,0,0,0,2,25,0,0
"Q01995",0,0,0,0,0,0,0,0,0,3
"P68366",2,0,0,2,0,0,0,0,0,0
"Q13885",12,7,0,7,2,0,0,0,0,2
"Q9Y4P3",0,0,0,0,0,0,0,0,0,2
"P53999",5,0,0,0,0,0,0,0,0,0
"P17987",0,1,0,5,0,0,0,0,0,0
"P78371",2,0,0,4,0,0,0,0,0,0
"P50991",0,0,0,5,0,0,0,0,0,0
"P48643",2,2,0,3,0,0,0,0,0,0
"Q99832",0,0,0,2,0,0,0,0,0,0
"P40227",2,0,0,5,0,0,0,0,0,0
"O14776",6,0,0,0,0,3,0,0,0,0
"P55072",5,8,0,26,0,0,0,0,0,2
"P02786",0,9,0,13,4,0,0,0,0,10
"P09110",0,0,0,0,0,0,0,0,0,11
"P24752",0,0,0,4,0,0,0,16,28,17
"P42765",0,0,0,0,0,0,0,13,31,28
"P10599",0,0,0,4,7,0,0,0,0,0
"Q86W42",3,0,0,0,0,0,0,0,0,0
"P25325",0,0,0,0,0,0,1,0,0,0
"Q16762",0,0,0,0,0,0,1,11,0,0
"P04216",0,0,0,0,0,0,0,0,8,11
"Q13263",27,0,0,2,0,0,0,0,0,0
"Q9Y5L4",2,5,0,0,3,0,2,2,6,6
"O43615",0,0,0,0,0,0,0,0,0,3
"Q9Y5J7",0,0,0,0,0,0,8,0,0,0
"Q9Y490",4,4,0,6,2,1,0,0,0,4
"Q9HC07",0,0,0,1,0,0,0,0,0,0
"Q9BVK6",0,0,0,0,0,2,4,0,0,0
"P49755",0,0,0,0,0,0,4,0,0,0
"Q6PI78",0,0,0,0,0,0,0,0,2,0
"Q9H3N1",0,2,0,0,0,0,0,0,0,0
"Q9NS69",2,4,0,5,0,0,0,0,0,1
"O96008",0,0,0,0,0,0,0,6,2,4
"P11387",13,0,0,0,0,0,0,0,0,0
"Q02880",2,0,0,0,0,0,0,0,0,0
"Q13641",13,0,0,0,0,0,0,0,0,0
"P67936",0,0,0,2,0,0,0,0,0,0
"P12270",24,0,0,5,2,0,3,0,0,0
"Q9UI30",1,0,0,0,0,0,0,0,0,0
"Q9Y2W1",11,0,0,0,0,0,0,0,0,0
"Q13595",4,0,0,0,0,0,0,0,0,0
"Q12931",2,10,0,13,0,5,36,6,0,7
"Q16881",0,0,0,0,0,13,0,0,0,0
"O14907",0,0,0,0,0,0,0,2,4,0
"Q9BRA2",0,0,0,0,0,13,0,0,0,0
"Q8NBS9",0,2,0,2,0,0,0,0,0,1
"Q01081",4,0,0,1,0,0,0,0,0,0
"P26368",7,0,0,2,0,0,0,0,0,0
"O75643",30,0,0,0,0,0,0,0,0,0
"Q15029",22,0,0,0,0,0,0,0,0,0
"P68036",0,0,0,0,0,0,0,0,0,3
"Q5T6F2",0,0,0,0,0,0,5,11,4,4
"P61081",0,0,0,0,0,0,0,4,0,0
"O95155",0,0,0,0,0,0,0,0,0,1
"P11441",0,0,0,0,0,0,0,0,0,2
"Q9UMX0",0,0,0,12,20,0,0,0,0,0
"Q9UHD9",0,0,0,0,4,1,0,0,0,0
"O94888",0,0,0,0,0,1,0,0,0,0
"P52758",0,0,0,0,0,0,0,0,0,10
"Q03405",0,0,0,2,13,11,6,0,0,0
"Q9BVJ6",5,0,0,0,0,0,0,0,0,0
"O95292",0,0,0,3,0,6,11,0,0,3
"Q6EMK4",4,0,0,2,0,0,0,0,0,0
"P36543",0,0,0,0,0,0,0,0,1,2
"P21796",20,41,0,5,1,0,0,24,44,48
"Q00341",0,0,0,0,2,0,0,0,0,1
"P08670",25,18,0,48,15,2,2,0,0,16
"P18206",0,0,0,0,0,22,6,0,0,0
"Q3ZAQ7",0,0,0,0,0,10,0,0,0,0
"O75717",0,0,0,0,0,2,0,0,0,0
"Q9BV38",2,0,0,0,0,0,0,0,0,0
"P18887",0,0,0,0,0,0,5,2,0,0
"P13010",4,0,0,0,0,0,0,0,0,0
"P12956",7,0,0,7,0,0,0,0,0,7
"P67809",0,4,0,10,2,4,10,7,5,10
"O75152",0,0,0,0,0,0,0,0,0,2
"Q5BKZ1",1,0,0,0,0,0,0,0,0,0
"P30443",0,5,0,6,5,22,17,10,0,6
"P01892",0,0,0,0,0,19,11,0,0,0
"P18462",0,5,0,3,8,11,13,6,0,7
"P01891",0,0,0,0,0,13,12,0,0,0
"P01889",0,3,0,6,14,18,7,2,0,2
"P30461",0,0,0,0,0,1,0,0,0,0
"P30462",0,0,0,0,2,0,0,0,0,0
"P30464",0,0,0,0,0,4,1,0,0,0
"P30492",0,0,0,0,0,4,0,0,0,0
"P30501",0,0,0,0,0,3,0,0,0,0
"P62736",14,25,8,31,14,8,5,11,6,14
"Q562R1",0,0,6,0,0,0,0,2,0,1
"Q9BYX7",11,18,0,16,7,9,5,3,0,5
"Q04828",0,0,0,0,0,0,0,16,8,2
"P02768",0,0,0,0,2,0,0,0,0,0
"P55789",0,0,0,0,0,0,5,3,0,0
"P02656",4,0,0,0,0,0,0,0,0,0
"Q674R7",0,0,0,0,8,0,0,0,0,0
"P56385",2,5,0,2,0,0,0,0,5,9
"Q8WWM7",0,0,0,0,0,0,3,6,0,1
"P27824",0,22,0,56,12,0,0,0,0,12
"Q01518",0,0,0,0,0,0,2,0,2,0
"Q9NXV6",0,0,0,0,0,0,1,1,0,0
"Q9H1C7",0,2,0,0,0,0,0,0,0,0
"Q9Y6H1",0,0,0,0,4,2,13,7,4,8
"Q6UW78",0,0,0,0,0,0,0,0,0,3
"Q2KHT3",0,12,0,10,19,14,7,4,0,2
"Q9ULV4",7,0,0,0,0,0,0,0,0,0
"Q5BKU9",0,0,0,0,2,1,0,0,0,0
"P14406",0,10,0,0,2,0,4,0,0,0
"P51397",0,0,0,0,0,0,0,0,0,2
"P81605",6,0,0,0,4,0,2,0,0,0
"P33316",0,1,0,0,0,5,11,11,20,20
"O00148",2,0,0,0,0,0,0,0,0,0
"P63167",0,0,0,0,0,0,7,0,0,0
"P29692",0,2,0,7,0,0,11,9,0,3
"P26641",0,9,0,8,0,0,0,0,0,0
"O60739",0,0,0,0,0,0,0,4,0,0
"O15372",0,0,0,1,0,0,0,0,0,0
"Q15717",0,0,0,9,0,0,0,11,21,32
"Q96PL5",0,0,0,0,0,0,5,0,0,0
"P04406",21,34,17,25,16,68,211,102,77,64
"Q14697",0,10,0,31,0,0,0,0,0,6
"P14136",10,0,11,0,0,5,3,0,0,2
"Q8NGU9",0,0,0,0,0,0,0,0,5,0
"Q96QV6",61,0,32,0,0,0,0,0,0,0
"Q9P0M6",13,0,0,0,0,0,0,0,0,0
"P69905",3,0,0,0,2,0,0,7,4,1
"O43504",0,0,0,4,0,0,0,0,0,0
"Q9BX68",0,0,0,0,0,27,26,3,1,3
"P01893",0,0,0,0,2,5,0,0,0,0
"O75526",6,0,0,0,0,0,0,0,0,15
"P61978",25,19,4,32,14,5,6,7,4,36
"P34931",6,6,0,9,5,0,0,0,0,7
"Q58FG0",0,0,0,4,0,0,0,0,0,0
"Q2VIR3",2,0,0,0,0,0,0,0,0,0
"Q12906",1,0,0,11,0,0,0,0,2,4
"P52294",1,0,0,0,0,0,0,0,0,0
"Q16891",16,0,0,0,0,0,0,0,0,0
"Q9Y5U9",0,4,0,0,0,0,0,0,0,0
"P13645",71,69,136,43,46,81,48,51,44,23
"P13646",2,10,16,0,0,7,0,6,0,0
"P02533",20,10,36,4,2,8,0,8,1,2
"P08779",0,8,20,0,0,2,2,0,0,0
"Q04695",35,0,51,6,0,2,3,17,0,0
"P35527",37,34,60,17,19,37,24,27,12,17
"P35908",46,42,91,27,26,42,23,18,28,26
"P12035",2,0,0,0,0,0,0,0,0,0
"P13647",3,0,78,0,0,0,0,0,0,0
"P02538",0,15,77,0,0,0,0,0,0,0
"P08729",29,0,21,7,0,0,0,20,0,0
"P05787",26,0,15,0,0,0,0,0,0,0
"Q92615",0,0,0,0,0,0,0,0,0,2
"Q9Y383",5,1,0,2,0,0,0,0,0,0
"O14494",0,0,0,0,0,0,0,1,0,0
"Q8N456",0,9,0,5,4,0,0,0,0,4
"Q3MHD2",0,0,0,0,0,0,3,3,0,0
"P55145",3,0,0,0,0,0,0,0,0,38
"Q8NI22",0,0,3,0,0,0,0,0,0,0
"Q86YW9",0,0,0,0,0,0,0,0,0,1
"P40925",0,0,0,0,0,10,11,0,0,0
"Q8N4Q1",0,0,3,0,0,0,0,0,0,0
"O75439",0,0,0,0,0,18,14,0,0,0
"P58546",0,0,0,0,7,0,0,0,0,0
"P35749",4,2,0,4,2,0,0,0,0,2
"Q9H009",0,0,0,1,0,0,0,0,0,0
"P22392",0,0,0,0,0,0,0,2,0,2
"Q15843",0,0,0,0,0,0,0,6,6,0
"P61916",0,0,0,0,0,2,4,6,4,3
"Q14980",37,0,0,0,0,0,0,0,0,0
"P36957",0,2,0,9,6,0,3,0,0,0
"P08559",0,0,0,0,0,0,6,27,0,0
"Q8NH73",0,0,0,0,0,0,0,2,1,0
"P11940",0,0,0,3,0,5,4,0,4,10
"Q15366",0,0,0,0,0,0,0,0,11,14
"Q9Y5H9",2,0,0,0,0,0,0,0,0,0
"O15173",19,9,49,8,0,0,0,0,0,0
"Q15165",0,0,0,1,0,0,0,0,0,2
"P45877",0,0,0,0,0,0,0,0,6,0
"Q9UMR5",0,0,0,2,0,0,0,0,0,0
"P22234",2,0,0,0,2,0,10,0,0,0
"O14957",0,2,0,0,0,0,0,0,0,2
"O14949",0,2,0,0,0,0,0,0,0,0
"Q9UDW1",0,2,0,0,0,0,0,0,0,0
"P35241",0,0,0,0,0,2,10,0,0,4
"P62834",0,0,0,6,0,0,0,0,0,10
"P01112",0,0,0,0,0,0,0,1,0,0
"Q9BWF3",0,0,0,0,0,0,4,0,0,0
"Q92785",1,0,0,0,0,0,0,0,0,0
"P62750",6,0,0,6,0,0,0,0,0,0
"P52815",0,0,0,0,0,24,17,9,0,0
"Q8N5N7",0,0,0,0,0,3,6,0,0,0
"Q7Z7F7",0,0,0,2,0,0,0,0,0,1
"P62854",0,0,0,3,0,0,0,0,0,0
"Q92552",0,0,0,1,0,0,0,0,0,0
"Q9NQC3",0,0,0,0,6,9,12,21,20,12
"P05109",0,0,37,0,0,0,0,0,0,0
"P06702",2,0,0,0,0,0,0,0,0,0
"O00422",4,0,0,0,0,0,0,0,0,0
"Q9UHD8",0,0,0,0,0,4,3,1,0,5
"Q15637",0,0,0,0,0,0,2,6,6,8
"Q9UNL2",2,2,0,2,0,0,0,0,0,0
"P61956",0,0,0,0,8,8,3,0,0,0
"O95425",0,0,0,0,0,2,0,0,0,0
"P47897",0,0,0,0,0,0,0,3,2,0
"Q71U36",13,17,3,15,6,2,0,3,2,5
"P68363",9,2,0,5,0,0,0,0,0,0
"P07437",5,0,0,0,0,0,0,0,0,0
"P10646",1,2,0,0,0,0,0,0,0,0
"Q86V81",2,0,0,2,1,0,2,0,0,4
"P29401",0,2,0,1,0,0,0,3,24,46
"Q53S58",0,0,0,0,0,0,2,0,0,0
"A5PLL7",0,0,0,0,0,0,4,0,0,0
"Q969X1",0,0,0,0,0,0,0,0,2,0
"Q9P0T7",0,0,0,0,0,2,2,2,0,0
"P55327",0,0,0,0,11,0,0,0,0,0
"O43399",0,0,0,0,8,9,0,0,0,0
"Q9BYV6",1,0,0,0,0,0,0,0,0,0
"Q8TAP9",0,0,0,0,0,0,0,0,0,2
"P63027",0,2,0,0,0,3,7,7,11,4
"P04004",4,0,0,0,0,0,0,0,0,0
"Q15942",0,0,0,0,0,0,0,3,0,0
"P08195",10,42,0,67,39,27,15,0,0,35
"P52209",0,0,0,0,1,12,1,0,0,0
"P11310",0,0,0,4,0,0,0,0,0,0
"P49748",2,0,0,7,0,0,0,0,0,0
"Q99798",0,0,0,0,0,0,0,110,108,31
"P12814",0,17,0,43,6,0,0,0,0,9
"P04075",1,26,0,28,20,16,27,47,134,181
"Q9NQW6",0,0,0,0,0,1,2,1,0,0
"P07355",23,8,0,0,0,0,21,190,313,208
"P09525",0,0,0,0,0,0,5,0,0,0
"P20073",0,0,0,0,0,0,2,0,0,0
"Q9BZZ5",2,0,0,0,0,0,0,0,0,0
"P61160",0,0,0,0,0,0,0,6,0,0
"P18859",0,5,0,0,15,59,29,10,0,0
"Q07812",0,0,0,0,2,0,0,0,0,0
"O15382",0,0,0,0,0,0,0,6,0,0
"P55957",0,0,0,0,2,1,0,0,0,0
"P11586",0,0,0,3,0,0,0,0,0,0
"Q5JTJ3",0,0,0,0,0,0,16,26,25,10
"Q05682",12,0,0,8,13,6,3,0,0,7
"P60033",0,0,0,0,6,12,0,0,0,0
"Q9NYJ1",0,0,0,0,0,3,0,0,0,0
"Q12873",4,0,0,0,0,0,0,0,0,0
"Q9UJS0",0,2,0,3,0,0,0,0,0,2
"P62633",0,0,0,0,0,0,4,7,8,9
"O75128",0,0,0,0,0,0,0,0,0,2
"O14548",0,0,0,0,0,0,0,0,2,2
"P31327",2,31,0,43,6,101,181,24,1,64
"P35221",0,0,0,1,0,0,0,0,0,0
"P14854",0,0,0,0,0,32,50,13,0,0
"P08174",27,1,18,1,0,0,0,0,0,0
"Q9UJU6",0,0,0,0,0,0,0,0,2,2
"Q92841",27,1,0,4,0,0,0,0,0,1
"Q7L014",1,0,0,0,0,0,12,4,0,4
"P35659",10,0,0,0,0,0,10,2,0,0
"Q9NP97",0,0,0,0,0,10,6,0,0,0
"Q9H4G0",0,0,0,0,0,3,1,0,0,0
"Q99848",7,0,0,0,0,0,0,0,0,0
"P43897",0,0,0,0,0,0,0,0,0,1
"P49411",7,6,0,15,6,0,0,9,0,11
"Q99613",0,0,0,1,0,0,0,0,0,0
"Q96L91",0,0,0,0,0,0,0,0,0,2
"Q9UNN8",0,0,0,0,2,7,4,2,0,0
"Q969X5",0,0,0,0,0,0,0,0,0,2
"Q9BSJ8",0,2,0,6,2,0,0,0,0,4
"Q01844",0,0,0,0,0,4,0,0,4,4
"Q96AC1",0,0,0,0,0,0,4,0,0,0
"Q16658",0,0,0,0,0,0,0,10,2,0
"Q96AE4",0,0,0,0,0,2,22,70,34,24
"Q92945",0,0,0,0,0,9,61,103,36,27
"P35637",8,0,0,0,3,2,3,4,15,26
"P63244",4,0,0,5,0,0,0,29,23,6
"Q9UBQ7",0,0,0,0,0,2,11,20,2,2
"P11021",17,37,1,95,55,6,1,0,0,50
"Q9Y2Q3",0,0,0,0,0,0,2,4,4,4
"Q16836",0,0,0,0,0,0,0,0,9,9
"Q6NVY1",0,0,0,0,0,0,15,27,0,0
"P31943",13,15,0,20,9,14,64,38,11,19
"P07910",8,5,0,9,2,0,0,0,0,9
"P07900",2,7,0,10,0,1,3,0,0,0
"Q7Z5L9",0,0,0,0,0,0,0,2,0,4
"P20810",0,0,0,11,4,0,0,0,0,0
"Q14197",0,0,0,2,0,0,0,0,0,0
"Q04637",0,0,0,0,0,0,0,0,0,2
"P63241",0,0,0,0,0,0,0,0,0,4
"Q9H2U2",0,0,0,0,0,0,24,14,0,0
"Q96AB3",0,0,0,0,0,0,0,2,3,4
"P13473",19,0,0,0,0,0,0,0,0,0
"P48059",1,0,0,0,0,0,0,0,0,0
"Q9Y2Q5",0,1,0,0,0,7,0,0,0,0
"P27816",0,0,0,8,9,3,0,0,0,0
"P43243",21,10,0,18,0,0,3,0,0,11
"Q9BQG0",16,0,0,0,0,0,0,0,0,0
"P51608",0,0,0,0,0,0,0,2,0,0
"O95297",0,0,0,0,0,0,0,0,8,0
"Q13421",0,0,4,0,0,0,0,0,0,0
"Q9Y3D2",0,0,0,0,0,0,0,4,2,0
"Q99417",0,0,0,0,4,8,3,0,0,0
"P35580",3,1,0,1,0,0,0,0,0,0
"Q13765",0,2,0,9,0,0,0,0,0,0
"Q9NX14",0,4,0,0,0,0,0,0,0,0
"P19404",0,0,0,0,0,12,16,4,0,0
"Q12857",4,0,0,0,0,0,0,0,0,0
"P55769",8,0,0,0,0,0,0,0,0,0
"Q9NQR4",0,0,0,0,0,0,4,0,0,0
"Q14978",5,0,0,0,0,0,0,0,0,2
"Q9Y3C1",2,0,0,0,0,2,0,0,0,0
"P46087",12,0,0,0,0,0,0,0,0,0
"O60313",0,0,0,2,0,0,2,0,0,1
"Q15004",0,0,0,0,0,0,0,0,0,2
"Q8IXS6",0,0,0,0,1,0,0,0,0,0
"Q15084",0,13,0,20,0,11,54,11,0,9
"Q9NTI5",3,0,0,0,0,0,0,0,0,0
"Q13492",0,0,0,0,0,0,0,1,2,4
"P22061",0,0,0,0,0,2,0,0,0,0
"Q9Y237",0,0,0,0,0,0,0,0,0,2
"P00491",0,0,0,0,0,0,4,0,0,0
"P10619",0,0,0,0,11,18,0,0,0,0
"P62937",0,0,0,0,0,0,0,33,33,20
"P50897",0,0,0,0,0,8,20,22,1,0
"Q9Y520",0,0,0,0,3,0,0,0,2,9
"Q5JRX3",0,0,0,0,0,8,13,0,0,0
"Q9UHX1",4,0,0,0,0,0,0,0,0,0
"P14927",0,4,0,0,0,0,4,7,19,38
"Q96PU8",0,0,0,0,0,0,0,0,0,3
"Q13636",0,0,0,0,0,0,0,0,0,2
"Q92878",4,0,0,0,0,0,0,0,0,0
"P62826",9,0,0,0,0,0,0,0,0,0
"Q14498",13,0,0,0,0,2,0,0,0,0
"P29558",0,0,0,0,0,0,0,0,0,3
"Q92804",0,0,0,0,0,0,0,0,1,0
"P18754",8,0,0,0,0,0,0,0,0,0
"Q14257",0,0,0,2,0,0,0,0,0,0
"P62906",0,2,0,5,0,0,0,0,0,0
"P50914",0,0,0,5,0,0,0,0,0,0
"P62899",2,0,0,0,0,0,0,0,0,0
"Q02878",8,0,0,0,0,0,0,0,0,0
"P18124",6,8,0,9,0,0,0,0,0,0
"O00584",0,0,0,0,0,3,2,0,0,0
"O95758",0,0,0,1,0,0,0,0,0,0
"P04843",7,12,0,29,3,0,0,0,0,14
"Q9P2E9",0,0,0,0,0,0,0,0,0,6
"Q9Y3A4",2,0,0,0,0,0,0,0,0,0
"P60866",0,3,0,10,0,0,0,0,0,5
"P62857",0,0,0,0,0,0,0,0,2,18
